所管,組織,,,,,,,,                             項目,,"平成28年度
成立予算額(千円)",補正要求,,,"改平成28年度
予算額(千円)"
内閣,内閣官房,,,,,,,,,,"102,376,911","20,971,839",0,"20,971,839","123,348,750"
,,001,,,,,,,内閣官房共通費,,"39,867,528","3,285,874",0,"3,285,874","43,153,402"
,,,95,016,2,12,9,06,,諸謝金,"1,175,163","530,510",0,"530,510","1,705,673"
,,,95,016,2,12,2,08,,職員旅費,"788,788","10,021",0,"10,021","798,809"
,,,95,016,2,12,2,08,,委員等旅費,"168,584","9,840",0,"9,840","178,424"
,,,95,016,2,12,3,09,,庁費,"2,100,559","60,138",0,"60,138","2,160,697"
,,,95,016,2,12,3,09,,情報処理業務庁費,"5,626,663","1,282,612",0,"1,282,612","6,909,275"
,,,95,016,2,12,3,09,,国際テロ情報収集等活動費,"120,000","500,000",0,"500,000","620,000"
,,,95,016,2,12,5,14,,重要政策基礎調査委託費,"299,946","299,037",0,"299,037","598,983"
,,,95,016,2,12,5,14,,社会保障・税番号制度システム開発等委託費,"9,539,362","400,000",0,"400,000","9,939,362"
,,,95,016,2,12,5,14,,サイバーセキュリティ施策評価事務委託費,0,"193,716",0,"193,716","193,716"
,,,95,016,2,12,2,08,,赴任旅費外26目,"20,048,463",0,0,0,"20,048,463"
,,002,,,,,,,内閣官房施設費,,"639,643","218,500",0,"218,500","858,143"
,,,95,016,1,20,2,08,,施設施工旅費,280,0,0,0,280
,,,95,016,1,20,3,09,,施設施工庁費,"52,335","17,496",0,"17,496","69,831"
,,,95,016,1,20,4,15,,施設整備費,"587,028","201,004",0,"201,004","788,032"
,,003,,,,,,,情報収集衛星業務費,,"61,165,833","16,634,152",0,"16,634,152","77,799,985"
,,,95,016,2,12,3,09,,情報収集衛星業務庁費,"7,097,704","1,109,700",0,"1,109,700","8,207,404"
,,,95,016,2,12,5,14,,情報収集衛星システム開発等委託費,"53,131,200","15,524,452",0,"15,524,452","68,655,652"
,,,95,016,2,12,9,06,,諸謝金外6目,"936,929",0,0,0,"936,929"
,,004,,,,,,,情報収集衛星施設費,,"703,907","833,313",0,"833,313","1,537,220"
,,,95,016,1,20,2,08,,施設施工旅費,"2,949",0,0,0,"2,949"
,,,95,016,1,20,3,09,,施設施工庁費,"43,536","59,326",0,"59,326","102,862"
,,,95,016,1,20,4,15,,施設整備費,"657,422","773,987",0,"773,987","1,431,409"
,人事院,,,,,,,,,,"11,570,074","122,074",0,"122,074","11,692,148"
,,021,,,,,,,人事院,,"11,570,074","122,074",0,"122,074","11,692,148"
,,,95,016,2,12,3,09,,情報処理業務庁費,"2,870,629","32,824",0,"32,824","2,903,453"
,,,95,016,1,20,4,15,,施設整備費,"14,918","89,250",0,"89,250","104,168"
,,,95,016,2,12,9,06,,諸謝金外32目,"8,684,527",0,0,0,"8,684,527"
内閣府,内閣本府,,,,,,,,,,"549,122,193","92,911,543",0,"92,911,543","642,033,736"
,,001,,,,,,,内閣本府共通費,,"26,865,364","1,100,000",0,"1,100,000","27,965,364"
,,,95,016,2,12,3,09,,庁費,"2,780,649","1,100,000",0,"1,100,000","3,880,649"
,,,95,016,2,12,9,06,,諸謝金外35目,"24,084,715",0,0,0,"24,084,715"
,,002,,,,,,,内閣本府施設費,,"567,432","300,872",0,"300,872","868,304"
,,,95,016,1,20,4,15,,施設整備費,"520,827","300,872",0,"300,872","821,699"
,,,95,016,1,20,2,08,,施設施工旅費外1目,"46,605",0,0,0,"46,605"
,,003,,,,,,,公文書等管理政策費,,"105,011","50,000",0,"50,000","155,011"
,,,95,016,2,12,9,06,,諸謝金,"95,010","50,000",0,"50,000","145,010"
,,,95,016,2,12,2,08,,職員旅費外1目,"10,001",0,0,0,"10,001"
,,004,,,,,,,独立行政法人国立公文書館運営費,,"2,009,884","9,769",0,"9,769","2,019,653"
,,,95,191,2,30,5,16,,独立行政法人国立公文書館運営費交付金,"2,009,884","9,769",0,"9,769","2,019,653"
,,005,,,,,,,政府広報費,,"8,297,612","2,850,174",0,"2,850,174","11,147,786"
,,,95,016,2,12,3,09,,啓発広報費,"7,593,589","2,850,174",0,"2,850,174","10,443,763"
,,,95,016,2,12,9,06,,諸謝金外4目,"704,023",0,0,0,"704,023"
,,007,,,,,,,経済財政政策費,,"798,902","1,441,895",0,"1,441,895","2,240,797"
,,,95,016,2,12,3,09,,市民活動促進調査費,"67,435","49,895",0,"49,895","117,330"
,,,95,016,2,81,5,16,,民間資金等活用事業調査費補助金,0,"1,392,000",0,"1,392,000","1,392,000"
,,,95,016,2,12,9,06,,諸謝金外12目,"731,467",0,0,0,"731,467"
,,009,,,,,,,地方創生支援費,,"224,279","1,364,311",0,"1,364,311","1,588,590"
,,,95,016,2,12,5,14,,地方創生支援委託費,"61,943","549,643",0,"549,643","611,586"
,,,95,016,2,40,5,16,,地方創生支援事業費補助金,0,"814,668",0,"814,668","814,668"
,,,95,016,2,12,9,06,,諸謝金外6目,"162,336",0,0,0,"162,336"
,,012,,,,,,,科学技術・イノベーション政策費,,"460,518",0,0,0,"460,518"
,,196,,,,,,,科学技術イノベーション創造推進費,,"50,000,000",0,0,0,"50,000,000"
,,199,,,,,,,国立研究開発法人日本医療研究開発機構出資,,0,"55,000,000",0,"55,000,000","55,000,000"
,,,13,073,1,95,9,24,,国立研究開発法人日本医療研究開発機構出資金,0,"55,000,000",0,"55,000,000","55,000,000"
,,006,,,,,,,遺棄化学兵器廃棄処理事業費,,"34,573,070",0,0,0,"34,573,070"
,,013,,,,,,,防災政策費,,"82,447,195","728,021",0,"728,021","83,175,216"
,,,95,016,2,12,3,09,,災害関係調査費,"1,801,024","403,210",0,"403,210","2,204,234"
,,,95,016,2,20,4,15,,無線通信機器等整備費,"259,177","324,811",0,"324,811","583,988"
,,,95,016,2,12,2,08,,職員旅費外11目,"80,386,994",0,0,0,"80,386,994"
,,191,,,,,,,原子力災害対策費,,0,"10,000,000",0,"10,000,000","10,000,000"
,,,95,016,2,81,5,16,,原子力災害対策事業費補助金,0,"10,000,000",0,"10,000,000","10,000,000"
,,193,,,,,,,電源開発促進税財源原子力安全規制対策費エネルギー対策特別会計へ繰入,,"9,980,000",0,0,0,"9,980,000"
,,015,,,,,,,沖縄政策費,,"23,133,348","5,233,677",0,"5,233,677","28,367,025"
,,,95,016,2,12,3,09,,庁費,"51,248","414,378",0,"414,378","465,626"
,,,13,073,2,30,5,16,,沖縄科学技術大学院大学学園補助金,"14,674,841","1,499,986",0,"1,499,986","16,174,827"
,,,13,073,1,30,5,16,,沖縄科学技術大学院大学学園施設整備費補助金,"2,051,466","3,319,313",0,"3,319,313","5,370,779"
,,,95,016,2,12,9,06,,諸謝金外17目,"6,355,793",0,0,0,"6,355,793"
,,187,,,,,,,沖縄振興交付金事業推進費,,"161,290,547","650,687",0,"650,687","161,941,234"
,,,95,199,2,81,5,16,,沖縄振興特別推進交付金,"80,635,438",0,0,0,"80,635,438"
,,,95,199,1,82,5,16,,沖縄振興公共投資交付金,"80,655,109","650,687",0,"650,687","81,305,796"
,,188,,,,,,,沖縄北部連携促進特別振興事業費,,"2,572,000",0,0,0,"2,572,000"
,,189,,,,,,,沖縄振興推進調査費,,"61,714",0,0,0,"61,714"
,,022,,,,,,,沖縄教育振興事業費,,"9,422,932",0,0,0,"9,422,932"
,,023,,,,,,,沖縄保健衛生諸費,,"1,987",0,0,0,"1,987"
,,028,,,,,,,沖縄開発事業費,,"88,109,760","9,120,000",0,"9,120,000","97,229,760"
,,,41,051,1,20,4,00,,堰堤維持費,"2,535,126","50,000",0,"50,000","2,585,126"
,,,42,052,1,20,4,00,,地域連携道路事業費,"4,605,000","1,000,000",0,"1,000,000","5,605,000"
,,,42,052,1,20,4,00,,道路交通円滑化事業費,"17,980,000","1,100,000",0,"1,100,000","19,080,000"
,,,42,052,1,20,4,00,,道路維持管理費,"4,775,000","436,000",0,"436,000","5,211,000"
,,,43,052,1,20,4,00,,港湾改修費,"9,318,867","2,480,000",0,"2,480,000","11,798,867"
,,,44,052,1,20,4,00,,道路交通安全施設等整備事業費,"1,180,000","40,000",0,"40,000","1,220,000"
,,,45,052,1,20,4,00,,国営公園整備費,"1,454,798","400,000",0,"400,000","1,854,798"
,,,45,052,1,20,4,00,,国営公園維持管理費,"1,687,152","30,000",0,"30,000","1,717,152"
,,,46,052,1,20,4,00,,かんがい排水事業費,"5,819,422","100,000",0,"100,000","5,919,422"
,,,42,052,1,20,4,00,,道路調査費,"13,000","125,000",0,"125,000","138,000"
,,,41,051,1,82,5,00,,治山事業費補助,"260,000","14,000",0,"14,000","274,000"
,,,42,052,1,82,5,00,,地域連携道路事業費補助,"1,530,000","261,000",0,"261,000","1,791,000"
,,,43,052,1,82,5,00,,港湾改修費補助,"747,000","90,000",0,"90,000","837,000"
,,,45,086,1,92,5,00,,水道施設整備費補助,"2,467,000","1,266,000",0,"1,266,000","3,733,000"
,,,46,052,1,82,5,00,,水産基盤整備事業費補助,"3,529,204","270,000",0,"270,000","3,799,204"
,,,45,086,1,82,5,00,,循環型社会形成推進交付金,"1,166,000","600,000",0,"600,000","1,766,000"
,,,47,052,1,82,5,00,,社会資本整備総合交付金,"14,415,000","791,000",0,"791,000","15,206,000"
,,,47,052,1,82,5,00,,防災・安全社会資本整備交付金,"4,132,000","67,000",0,"67,000","4,199,000"
,,,41,051,1,20,4,00,,国有林野内治山事業費外21目,"10,495,191",0,0,0,"10,495,191"
,,190,,,,,,,沖縄北部連携促進特別振興対策特定開発事業推進費,,"2,572,000",0,0,0,"2,572,000"
,,032,,,,,,,共生社会政策費,,"2,072,208","999,496",0,"999,496","3,071,704"
,,,95,016,2,81,5,16,,地域子供の未来応援交付金,0,"999,496",0,"999,496","999,496"
,,,95,016,2,12,9,06,,諸謝金外8目,"2,072,208",0,0,0,"2,072,208"
,,033,,,,,,,栄典行政費,,"2,716,191",0,0,0,"2,716,191"
,,034,,,,,,,男女共同参画社会形成促進費,,"414,817","315,527",0,"315,527","730,344"
,,,95,016,2,12,9,06,,諸謝金,"284,805","15,156",0,"15,156","299,961"
,,,95,016,2,12,2,08,,職員旅費,"22,268",141,0,141,"22,409"
,,,95,016,2,12,3,09,,庁費,"51,447",230,0,230,"51,677"
,,,95,016,2,81,5,16,,地域女性活躍推進交付金,0,"300,000",0,"300,000","300,000"
,,,95,016,2,12,2,08,,委員等旅費外2目,"56,297",0,0,0,"56,297"
,,038,,,,,,,食品安全政策費,,"326,720",0,0,0,"326,720"
,,040,,,,,,,公益法人制度適正運営推進費,,"96,429","199,854",0,"199,854","296,283"
,,,95,016,2,12,3,09,,情報処理業務庁費,"53,020","199,854",0,"199,854","252,874"
,,,95,016,2,12,2,08,,職員旅費外2目,"43,409",0,0,0,"43,409"
,,041,,,,,,,経済社会総合研究所,,"1,989,723",0,0,0,"1,989,723"
,,042,,,,,,,迎賓施設運営費,,"1,265,818","966,260",0,"966,260","2,232,078"
,,,95,016,2,12,3,09,,迎賓施設業務庁費,"1,226,429","966,260",0,"966,260","2,192,689"
,,,95,016,2,12,9,06,,諸謝金外2目,"39,389",0,0,0,"39,389"
,,047,,,,,,,沖縄空港整備事業費自動車安全特別会計へ繰入,,"21,762,732","2,581,000",0,"2,581,000","24,343,732"
,,,43,052,1,92,6,00,,空港整備事業財源自動車安全特別会計へ繰入,"21,762,732","2,581,000",0,"2,581,000","24,343,732"
,,049,,,,,,,航空機燃料税財源沖縄空港整備事業費自動車安全特別会計へ繰入,,"14,984,000",0,0,0,"14,984,000"
,地方創生推進事務局,,,,,,,,,,"104,019,140","90,060,000",0,"90,060,000","194,079,140"
,,231,,,,,,,地方創生推進事務局,,"1,519,140","60,000",0,"60,000","1,579,140"
,,,95,016,2,12,2,08,,職員旅費,"22,963","1,940",0,"1,940","24,903"
,,,95,016,2,12,5,14,,地方創生推進委託費,"135,615","58,060",0,"58,060","193,675"
,,,95,016,2,12,9,06,,諸謝金外12目,"1,360,562",0,0,0,"1,360,562"
,,232,,,,,,,総合特区推進調整費,,"2,500,000",0,0,0,"2,500,000"
,,233,,,,,,,地方創生推進費,,"58,432,000","86,980,000",0,"86,980,000","145,412,000"
,,,95,199,2,81,5,16,,地方創生推進交付金,"58,432,000",0,0,0,"58,432,000"
,,,95,199,1,82,5,16,,地方創生拠点整備交付金,0,"86,980,000",0,"86,980,000","86,980,000"
,,234,,,,,,,地方創生基盤整備事業推進費,,"41,568,000","3,020,000",0,"3,020,000","44,588,000"
,,,48,052,1,82,5,00,,地方創生整備推進交付金,"41,568,000","3,020,000",0,"3,020,000","44,588,000"
,知的財産戦略推進事務局,,,,,,,,,,"143,188","131,091",0,"131,091","274,279"
,,241,,,,,,,知的財産戦略推進事務局,,"143,188","131,091",0,"131,091","274,279"
,,,95,016,2,12,9,06,,諸謝金,"15,229","131,091",0,"131,091","146,320"
,,,95,016,2,12,2,08,,職員旅費外7目,"127,959",0,0,0,"127,959"
,宇宙開発戦略推進事務局,,,,,,,,,,"15,072,525","4,400,000",0,"4,400,000","19,472,525"
,,251,,,,,,,宇宙開発戦略推進事務局,,"15,072,525","4,400,000",0,"4,400,000","19,472,525"
,,,95,016,2,12,5,14,,実用準天頂衛星システム開発等委託費,"14,176,560","4,400,000",0,"4,400,000","18,576,560"
,,,95,016,2,12,9,06,,諸謝金外13目,"895,965",0,0,0,"895,965"
,子ども・子育て本部,,,,,,,,,,"1,927,667,139","5,431,691",0,"5,431,691","1,933,098,830"
,,211,,,,,,,子ども・子育て本部,,"1,066,045","5,032,825",0,"5,032,825","6,098,870"
,,,95,199,2,85,5,16,,結婚新生活支援事業費補助金,0,"1,032,750",0,"1,032,750","1,032,750"
,,,95,016,2,81,5,16,,地域少子化対策重点推進交付金,"499,125","4,000,075",0,"4,000,075","4,499,200"
,,,95,016,2,12,9,06,,諸謝金外12目,"566,920",0,0,0,"566,920"
,,212,,,,,,,子どものための教育・保育給付,,"650,018,402","398,866",0,"398,866","650,417,268"
,,,06,083,2,86,5,16,,子どものための教育・保育給付災害臨時特例補助金,0,"398,866",0,"398,866","398,866"
,,,05,083,2,81,5,16,,子どものための教育・保育給付費補助金外1目,"650,018,402",0,0,0,"650,018,402"
,,213,,,,,,,子ども・子育て支援年金特別会計へ繰入,,"1,276,582,692",0,0,0,"1,276,582,692"
,警察庁,,,,,,,,,,"327,690,425","25,698,666",0,"25,698,666","353,389,091"
,,131,,,,,,,警察庁共通費,,"89,283,541",0,0,0,"89,283,541"
,,132,,,,,,,警察庁施設費,,"9,282,431","4,676,751",0,"4,676,751","13,959,182"
,,,95,014,1,20,2,08,,施設施工旅費,"21,308","4,254",0,"4,254","25,562"
,,,95,014,1,20,3,09,,施設施工庁費,"582,083","573,331",0,"573,331","1,155,414"
,,,95,014,1,20,4,15,,警察庁施設費,"7,260,045","3,428,340",0,"3,428,340","10,688,385"
,,,95,014,1,20,4,15,,通信施設整備費,"313,812","670,826",0,"670,826","984,638"
,,,95,014,1,20,4,15,,不動産購入費,"1,105,183",0,0,0,"1,105,183"
,,133,,,,,,,生活安全警察費,,"69,117",0,0,0,"69,117"
,,134,,,,,,,刑事警察費,,"153,286",0,0,0,"153,286"
,,135,,,,,,,組織犯罪対策費,,"79,790",0,0,0,"79,790"
,,136,,,,,,,交通警察費,,"17,365,710","54,330",0,"54,330","17,420,040"
,,,95,014,1,82,5,16,,都道府県警察施設災害復旧費補助金,0,"54,330",0,"54,330","54,330"
,,,95,014,2,12,9,06,,諸謝金外2目,"17,365,710",0,0,0,"17,365,710"
,,145,,,,,,,交通反則者納金財源交通安全対策特別交付金等交付税及び譲与税配付金特別会計へ繰入,,"64,576,761",0,0,0,"64,576,761"
,,137,,,,,,,警備警察費,,"12,309,624",0,0,0,"12,309,624"
,,138,,,,,,,皇宮警察本部,,"7,963,555","199,832",0,"199,832","8,163,387"
,,,95,014,2,12,3,09,,警察装備費,"397,407","199,832",0,"199,832","597,239"
,,,95,014,2,12,9,06,,諸謝金外13目,"7,566,148",0,0,0,"7,566,148"
,,140,,,,,,,犯罪被害給付費,,"1,377,214",0,0,0,"1,377,214"
,,141,,,,,,,情報技術犯罪対策費,,"185,282",0,0,0,"185,282"
,,142,,,,,,,科学警察研究所,,"2,068,675",0,0,0,"2,068,675"
,,143,,,,,,,警察活動基盤整備費,,"122,975,439","20,767,753",0,"20,767,753","143,743,192"
,,,95,014,2,12,3,09,,警察装備費,"15,109,088","734,914",0,"734,914","15,844,002"
,,,95,014,2,20,3,09,,車両購入費,"4,926,365","6,105,410",0,"6,105,410","11,031,775"
,,,95,014,2,20,3,09,,警察通信機器整備費,"8,529,463","11,945,158",0,"11,945,158","20,474,621"
,,,95,014,2,12,3,09,,警察通信維持費,"9,137,131","27,688",0,"27,688","9,164,819"
,,,95,014,2,20,4,15,,航空機購入費,"2,475,697","1,185,770",0,"1,185,770","3,661,467"
,,,95,014,1,82,5,16,,都道府県警察施設災害復旧費補助金,0,"768,813",0,"768,813","768,813"
,,,95,014,2,12,9,06,,諸謝金外14目,"82,797,695",0,0,0,"82,797,695"
,個人情報保護委員会,,,,,,,,,,"1,403,886","80,600",0,"80,600","1,484,486"
,,221,,,,,,,個人情報保護委員会,,"1,403,886","80,600",0,"80,600","1,484,486"
,,,95,016,2,12,2,08,,職員旅費,"18,976","19,600",0,"19,600","38,576"
,,,95,016,2,12,3,09,,個人情報保護業務庁費,"56,331","61,000",0,"61,000","117,331"
,,,95,016,2,12,9,06,,諸謝金外18目,"1,328,579",0,0,0,"1,328,579"
,金融庁,,,,,,,,,,"24,050,722","1,107,970",0,"1,107,970","25,158,692"
,,151,,,,,,,金融庁共通費,,"22,066,272","543,352",0,"543,352","22,609,624"
,,,95,016,2,12,3,09,,庁費,"848,932","6,415",0,"6,415","855,347"
,,,95,016,2,12,3,09,,情報処理業務庁費,"2,158,667","463,636",0,"463,636","2,622,303"
,,,95,016,2,72,5,16,,監査監督機関国際フォーラム拠出金,"68,419","73,301",0,"73,301","141,720"
,,,95,016,2,12,9,06,,諸謝金外28目,"18,990,254",0,0,0,"18,990,254"
,,152,,,,,,,金融政策費,,"1,984,450","564,618",0,"564,618","2,549,068"
,,,95,016,2,12,3,09,,金融政策業務庁費,"172,101","57,250",0,"57,250","229,351"
,,,95,016,2,12,3,09,,情報処理業務庁費,"922,657","407,368",0,"407,368","1,330,025"
,,,95,062,2,40,5,16,,自然災害被災者債務整理支援事業費補助金,"4,212","100,000",0,"100,000","104,212"
,,,95,016,2,12,9,06,,諸謝金外11目,"885,480",0,0,0,"885,480"
,消費者庁,,,,,,,,,,"11,891,805","2,317,107",0,"2,317,107","14,208,912"
,,161,,,,,,,消費者庁共通費,,"4,571,245",0,0,0,"4,571,245"
,,162,,,,,,,消費者政策費,,"4,461,441","2,052,079",0,"2,052,079","6,513,520"
,,,95,016,2,11,1,05,,非常勤職員手当,"339,556","13,079",0,"13,079","352,635"
,,,95,016,2,12,3,09,,情報処理業務庁費,"193,637","39,000",0,"39,000","232,637"
,,,95,016,2,81,5,16,,地方消費者行政推進交付金,"3,000,000","2,000,000",0,"2,000,000","5,000,000"
,,,95,016,2,12,9,06,,諸謝金外8目,"928,248",0,0,0,"928,248"
,,163,,,,,,,独立行政法人国民生活センター運営費,,"2,859,119","265,028",0,"265,028","3,124,147"
,,,95,191,2,30,5,16,,独立行政法人国民生活センター運営費交付金,"2,859,119","265,028",0,"265,028","3,124,147"
総務省,総務本省,,,,,,,,,,"15,958,504,158","78,969,783",0,"78,969,783","16,037,473,941"
,,001,,,,,,,総務本省共通費,,"40,969,534",0,0,0,"40,969,534"
,,002,,,,,,,総務本省施設費,,"248,001",0,0,0,"248,001"
,,004,,,,,,,行政管理実施費,,"136,271",0,0,0,"136,271"
,,005,,,,,,,行政評価等実施費,,"146,811",0,0,0,"146,811"
,,006,,,,,,,地方行政制度整備費,,"1,218,015",0,0,0,"1,218,015"
,,007,,,,,,,地域振興費,,"3,508,903","1,201,295",0,"1,201,295","4,710,198"
,,,95,016,2,12,2,08,,職員旅費,"17,251","1,295",0,"1,295","18,546"
,,,95,016,2,12,3,09,,地方振興対策調査費,"997,125","870,000",0,"870,000","1,867,125"
,,,95,016,2,81,5,16,,地域経済循環創造事業交付金,"1,608,250","130,000",0,"130,000","1,738,250"
,,,95,016,2,81,5,16,,過疎地域等自立活性化推進交付金,"689,652","200,000",0,"200,000","889,652"
,,,95,016,2,12,9,06,,諸謝金外5目,"196,625",0,0,0,"196,625"
,,008,,,,,,,地方財政制度整備費,,"50,204",0,0,0,"50,204"
,,009,,,,,,,地方交付税交付金,,"15,157,774,500","51,000,000",0,"51,000,000","15,208,774,500"
,,,31,021,2,30,6,22,,交付税及び譲与税配付金特別会計へ繰入,"15,157,774,500","51,000,000",0,"51,000,000","15,208,774,500"
,,010,,,,,,,地方特例交付金,,"123,300,000",0,0,0,"123,300,000"
,,011,,,,,,,地方税制度整備費,,"34,833",0,0,0,"34,833"
,,012,,,,,,,選挙制度等整備費,,"53,680,020",0,0,0,"53,680,020"
,,013,,,,,,,電子政府・電子自治体推進費,,"37,780,311","14,438,034",0,"14,438,034","52,218,345"
,,,95,016,2,12,3,09,,情報処理業務庁費,"20,694,028","1,949,854",0,"1,949,854","22,643,882"
,,,95,016,2,12,5,14,,社会保障・税番号制度システム開発等委託費,"1,240,200","4,274,596",0,"4,274,596","5,514,796"
,,,95,016,2,82,5,16,,社会保障・税番号制度システム整備費補助金,"1,549,499","8,213,584",0,"8,213,584","9,763,083"
,,,95,016,2,12,9,06,,諸謝金外6目,"14,296,584",0,0,0,"14,296,584"
,,014,,,,,,,情報通信技術研究開発推進費,,"6,002,562","1,395,051",0,"1,395,051","7,397,613"
,,,13,063,2,12,3,09,,情報通信技術研究開発推進業務庁費,"517,756","400,258",0,"400,258","918,014"
,,,13,063,2,30,5,16,,医療研究開発推進事業費補助金,"300,058","994,793",0,"994,793","1,294,851"
,,,95,063,2,12,9,06,,諸謝金外9目,"5,184,748",0,0,0,"5,184,748"
,,015,,,,,,,国立研究開発法人情報通信研究機構運営費,,"27,031,291","2,299,320",0,"2,299,320","29,330,611"
,,,13,063,2,30,5,16,,国立研究開発法人情報通信研究機構運営費交付金,"27,031,291","2,299,320",0,"2,299,320","29,330,611"
,,016,,,,,,,国立研究開発法人情報通信研究機構施設整備費,,"43,000",0,0,0,"43,000"
,,017,,,,,,,情報通信技術高度利活用推進費,,"5,903,595","7,536,392",0,"7,536,392","13,439,987"
,,,95,063,2,12,9,06,,諸謝金,"16,431","4,403",0,"4,403","20,834"
,,,95,063,2,12,2,08,,職員旅費,"16,850","12,619",0,"12,619","29,469"
,,,95,063,2,12,2,08,,委員等旅費,"12,509","4,209",0,"4,209","16,718"
,,,95,063,2,12,3,09,,情報通信技術研究開発調査費,"3,584,196","4,361,428",0,"4,361,428","7,945,624"
,,,95,063,2,12,5,14,,情報通信技術研究開発委託費,"70,047","624,000",0,"624,000","694,047"
,,,95,063,2,82,5,16,,情報通信技術利活用事業費補助金,"820,000","2,229,800",0,"2,229,800","3,049,800"
,,,95,063,1,82,5,16,,地域公共ネットワーク等強じん化事業費補助金,"360,313","299,933",0,"299,933","660,246"
,,,95,063,2,12,3,09,,情報処理業務庁費外3目,"1,023,249",0,0,0,"1,023,249"
,,020,,,,,,,情報通信技術利用環境整備費,,"4,494,488","199,137",0,"199,137","4,693,625"
,,,95,063,2,82,5,16,,情報通信基盤整備推進補助金,"400,000","199,137",0,"199,137","599,137"
,,,95,063,2,12,9,06,,諸謝金外5目,"4,094,488",0,0,0,"4,094,488"
,,021,,,,,,,電波利用料財源電波監視等実施費,,"62,436,419",0,0,0,"62,436,419"
,,022,,,,,,,情報通信国際戦略推進費,,"2,232,018","499,227",0,"499,227","2,731,245"
,,,95,063,2,12,3,09,,情報通信国際戦略推進業務庁費,"170,648","20,000",0,"20,000","190,648"
,,,95,063,2,12,3,09,,情報通信技術研究開発調査費,"775,472","479,227",0,"479,227","1,254,699"
,,,95,063,2,12,9,06,,諸謝金外11目,"1,285,898",0,0,0,"1,285,898"
,,023,,,,,,,郵政行政推進費,,"485,940",0,0,0,"485,940"
,,024,,,,,,,一般戦災死没者追悼等事業費,,"527,612",0,0,0,"527,612"
,,026,,,,,,,恩給費,,"325,748,603",0,0,0,"325,748,603"
,,027,,,,,,,統計調査費,,"28,159,638","401,327",0,"401,327","28,560,965"
,,,95,016,2,12,3,09,,統計調査費,"7,151,258","401,327",0,"401,327","7,552,585"
,,,95,016,2,12,9,06,,諸謝金外13目,"21,008,380",0,0,0,"21,008,380"
,,028,,,,,,,独立行政法人統計センター運営費,,"9,013,704",0,0,0,"9,013,704"
,,029,,,,,,,政党助成費,,"32,037,885",0,0,0,"32,037,885"
,,030,,,,,,,国有提供施設等所在市町村助成交付金,,"28,340,000",0,0,0,"28,340,000"
,,031,,,,,,,施設等所在市町村調整交付金,,"7,200,000",0,0,0,"7,200,000"
,消防庁,,,,,,,,,,"12,876,744","2,023,506",0,"2,023,506","14,900,250"
,,071,,,,,,,消防庁共通費,,"2,188,418",0,0,0,"2,188,418"
,,072,,,,,,,消防防災体制等整備費,,"10,688,326","2,023,506",0,"2,023,506","12,711,832"
,,,95,014,2,12,2,08,,職員旅費,"36,064","1,251",0,"1,251","37,315"
,,,95,014,2,12,3,09,,消防防災等業務庁費,"2,135,641","2,022,205",0,"2,022,205","4,157,846"
,,,95,199,2,13,3,09,,自動車重量税,50,50,0,50,100
,,,95,014,2,12,9,06,,諸謝金外20目,"8,516,571",0,0,0,"8,516,571"
法務省,法務本省,,,,,,,,,,"188,306,312","19,660,406",0,"19,660,406","207,966,718"
