所管,組織,,,,,,,,                             項目,,"平成28年度
成立予算額(千円)",補正要求,,,"改平成28年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
皇室費,皇室費,,,,,,,,,,"6,099,554","381,591",0,"381,591","6,481,145"
,,001,,,,,,,内廷費,,"324,000",0,0,0,"324,000"
,,002,,,,,,,宮廷費,,"5,545,584","381,591",0,"381,591","5,927,175"
,,,95,011,2,12,3,09,,各所修繕,"1,294,663","12,634",0,"12,634","1,307,297"
,,,95,011,2,20,4,15,,施設整備費,"2,069,150","368,957",0,"368,957","2,438,107"
,,,95,011,2,12,9,06,,諸謝金外5目,"2,181,771",0,0,0,"2,181,771"
,,003,,,,,,,皇族費,,"229,970",0,0,0,"229,970"
裁判所,裁判所,,,,,,,,,,"315,300,114","4,498,622",0,"4,498,622","319,798,736"
,,001,,,,,,,最高裁判所,,"75,485,918",0,0,0,"75,485,918"
,,002,,,,,,,下級裁判所,,"205,757,795",0,0,0,"205,757,795"
,,003,,,,,,,検察審査費,,"319,161",0,0,0,"319,161"
,,004,,,,,,,裁判費,,"19,124,553",0,0,0,"19,124,553"
,,005,,,,,,,裁判所施設費,,"14,604,687","4,498,622",0,"4,498,622","19,103,309"
,,,95,014,1,20,2,08,,施設施工旅費,"74,813","23,799",0,"23,799","98,612"
,,,95,014,1,20,3,09,,施設施工庁費,"568,976","296,121",0,"296,121","865,097"
,,,95,014,1,20,4,15,,施設整備費,"13,183,296","4,178,702",0,"4,178,702","17,361,998"
,,,95,014,1,20,4,15,,不動産購入費,"777,602",0,0,0,"777,602"
,,010,,,,,,,裁判所予備経費,,"8,000",0,0,0,"8,000"
会計検査院,会計検査院,,,,,,,,,,"16,826,708","69,036",0,"69,036","16,895,744"
,,001,,,,,,,会計検査院,,"16,763,791",0,0,0,"16,763,791"
,,002,,,,,,,会計検査院施設費,,"62,917","69,036",0,"69,036","131,953"
,,,95,016,1,20,2,08,,施設施工旅費,463,496,0,496,959
,,,95,016,1,20,3,09,,施設施工庁費,"5,666","7,606",0,"7,606","13,272"
,,,95,016,1,20,4,15,,施設整備費,"56,788","60,934",0,"60,934","117,722"
