所管,組織,,,,,,,,                             項目,,"平成30年度
成立予算額(千円)",補正要求,,,"改平成30年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,025,,,,,,,健康保険事業借入金諸費年金特別会計へ繰入,,"5,862,983",0,0,0,"5,862,983"
,,026,,,,,,,医療費適正化推進費,,"25,576,684",0,0,0,"25,576,684"
,,029,,,,,,,地域保健対策費,,"2,309,299",0,0,0,"2,309,299"
,,030,,,,,,,保健衛生施設整備費,,"2,180,333","609,954",0,"609,954","2,790,287"
,,,07,086,1,82,5,16,,保健衛生施設等施設整備費補助金,"2,180,333",0,0,0,"2,180,333"
,,,07,088,1,82,5,16,,保健衛生施設等災害復旧費補助金,0,"609,954",0,"609,954","609,954"
,,031,,,,,,,健康増進対策費,,"13,439,739",0,0,0,"13,439,739"
,,032,,,,,,,健康危機管理推進費,,"255,166",0,0,0,"255,166"
,,033,,,,,,,食品等安全確保対策費,,"2,025,799",0,0,0,"2,025,799"
,,034,,,,,,,水道安全対策費,,"91,532",0,0,0,"91,532"
,,035,,,,,,,水道施設整備費,,"9,761,000",0,0,0,"9,761,000"
,,195,,,,,,,生活基盤施設耐震化等対策費,,"19,900,000",0,0,0,"19,900,000"
,,036,,,,,,,麻薬・覚せい剤等対策費,,"1,055,686",0,0,0,"1,055,686"
,,037,,,,,,,化学物質安全対策費,,"314,810",0,0,0,"314,810"
,,038,,,,,,,生活衛生対策費,,"4,870,241","1,666,000",0,"1,666,000","6,536,241"
,,,07,086,1,95,9,24,,株式会社日本政策金融公庫出資金,0,"1,666,000",0,"1,666,000","1,666,000"
,,,95,016,2,12,9,06,,諸謝金外8目,"4,870,241",0,0,0,"4,870,241"
,,039,,,,,,,労働条件確保・改善対策費,,"245,431",0,0,0,"245,431"
,,096,,,,,,,中小企業最低賃金引上げ支援対策費,,"864,628",0,0,0,"864,628"
,,041,,,,,,,労働者災害補償保険保険給付費労働保険特別会計へ繰入,,"143,226",0,0,0,"143,226"
,,092,,,,,,,職務上年金給付費年金特別会計へ繰入,,109,0,0,0,109
,,045,,,,,,,独立行政法人労働政策研究・研修機構運営費,,"406,542",0,0,0,"406,542"
,,046,,,,,,,独立行政法人労働政策研究・研修機構施設整備費,,"48,708",0,0,0,"48,708"
,,056,,,,,,,男女均等雇用対策費,,"123,717",0,0,0,"123,717"
,,048,,,,,,,高齢者等雇用安定・促進費,,"8,551,858",0,0,0,"8,551,858"
,,049,,,,,,,失業等給付費等労働保険特別会計へ繰入,,"25,092,500",0,0,0,"25,092,500"
,,097,,,,,,,就職支援法事業費労働保険特別会計へ繰入,,"795,647",0,0,0,"795,647"
,,052,,,,,,,職業能力開発強化費,,"4,750,550",0,0,0,"4,750,550"
,,053,,,,,,,若年者等職業能力開発支援費,,"65,668",0,0,0,"65,668"
,,054,,,,,,,障害者等職業能力開発支援費,,"4,060,014",0,0,0,"4,060,014"
,,055,,,,,,,独立行政法人高齢・障害・求職者雇用支援機構運営費,,"878,637",0,0,0,"878,637"
,,058,,,,,,,保育対策費,,"104,542,057","839,040",0,"839,040","105,381,097"
,,,06,083,1,82,5,16,,保育所等整備交付金,"66,370,975","839,040",0,"839,040","67,210,015"
,,,95,016,2,12,9,06,,諸謝金外5目,"38,171,082",0,0,0,"38,171,082"
,,060,,,,,,,児童虐待等防止対策費,,"145,296,876","39,103",0,"39,103","145,335,979"
,,,06,083,2,86,5,16,,児童保護災害臨時特例補助金,0,"39,103",0,"39,103","39,103"
,,,95,016,2,12,9,06,,諸謝金外13目,"145,296,876",0,0,0,"145,296,876"
,,061,,,,,,,母子保健衛生対策費,,"25,345,096",0,0,0,"25,345,096"
,,062,,,,,,,母子家庭等対策費,,"186,663,533",0,0,0,"186,663,533"
,,094,,,,,,,子ども・子育て支援対策費,,"3,315,818","269,194",0,"269,194","3,585,012"
,,,06,088,2,81,5,16,,社会福祉施設等設備災害復旧費補助金,0,"269,194",0,"269,194","269,194"
,,,95,016,2,12,9,06,,諸謝金外6目,"3,315,818",0,0,0,"3,315,818"
,,063,,,,,,,児童福祉施設整備費,,"7,129,000","2,687,071",0,"2,687,071","9,816,071"
,,,06,088,1,82,5,16,,社会福祉施設等災害復旧費補助金,0,"2,687,071",0,"2,687,071","2,687,071"
,,,06,083,1,82,5,16,,次世代育成支援対策施設整備交付金,"7,129,000",0,0,0,"7,129,000"
,,064,,,,,,,生活保護等対策費,,"2,965,486,634",0,0,0,"2,965,486,634"
,,196,,,,,,,自殺対策費,,"3,077,407",0,0,0,"3,077,407"
,,067,,,,,,,社会福祉諸費,,"35,717,781",0,0,0,"35,717,781"
,,068,,,,,,,遺族及留守家族等援護費,,"10,221,930",0,0,0,"10,221,930"
,,069,,,,,,,戦没者慰霊事業費,,"2,988,906",0,0,0,"2,988,906"
,,070,,,,,,,中国残留邦人等支援事業費,,"1,103,102",0,0,0,"1,103,102"
,,071,,,,,,,恩給進達等実施費,,"263,579",0,0,0,"263,579"
,,072,,,,,,,障害保健福祉費,,"1,846,452,479","325,783",0,"325,783","1,846,778,262"
,,,06,083,2,86,5,16,,障害福祉サービス等災害臨時特例補助金,0,"13,767",0,"13,767","13,767"
,,,06,088,2,81,5,16,,社会福祉施設等設備災害復旧費補助金,0,"299,661",0,"299,661","299,661"
,,,07,086,2,84,5,16,,精神保健対策費補助金,"2,439,655","12,355",0,"12,355","2,452,010"
,,,95,016,2,12,9,06,,諸謝金外37目,"1,844,012,824",0,0,0,"1,844,012,824"
,,073,,,,,,,独立行政法人国立重度知的障害者総合施設のぞみの園運営費,,"1,463,424",0,0,0,"1,463,424"
,,075,,,,,,,特別障害給付金給付費年金特別会計へ繰入,,"3,106,181",0,0,0,"3,106,181"
,,076,,,,,,,社会福祉施設整備費,,"7,656,247","1,360,495",0,"1,360,495","9,016,742"
,,,06,088,1,82,5,16,,社会福祉施設等災害復旧費補助金,0,"1,360,495",0,"1,360,495","1,360,495"
,,,06,083,1,20,3,09,,施設施工庁費外3目,"7,656,247",0,0,0,"7,656,247"
,,077,,,,,,,独立行政法人福祉医療機構運営費,,"2,548,034",0,0,0,"2,548,034"
,,078,,,,,,,公的年金制度運営諸費,,"982,742",0,0,0,"982,742"
,,079,,,,,,,基礎年金拠出金等年金特別会計へ繰入,,"11,619,805,360",0,0,0,"11,619,805,360"
,,080,,,,,,,私的年金制度整備運営費,,"3,164,282",0,0,0,"3,164,282"
,,081,,,,,,,高齢者日常生活支援等推進費,,"204,333,781",0,0,0,"204,333,781"
,,082,,,,,,,介護保険制度運営推進費,,"2,863,268,439","4,758,595",0,"4,758,595","2,868,027,034"
,,,06,081,2,71,5,16,,介護保険災害臨時特例補助金,0,"293,798",0,"293,798","293,798"
,,,06,088,1,82,5,16,,社会福祉施設等災害復旧費補助金,0,"3,651,643",0,"3,651,643","3,651,643"
,,,06,088,2,81,5,16,,社会福祉施設等設備災害復旧費補助金,0,"796,874",0,"796,874","796,874"
,,,06,081,2,71,5,16,,国民健康保険災害臨時特例補助金,0,"16,280",0,"16,280","16,280"
,,,06,081,2,12,9,06,,諸謝金外18目,"2,863,268,439",0,0,0,"2,863,268,439"
,,084,,,,,,,業務取扱費年金特別会計へ繰入,,"106,843,268",0,0,0,"106,843,268"
,,085,,,,,,,国際機関活動推進費,,"14,959,966",0,0,0,"14,959,966"
,,086,,,,,,,国際協力費,,"243,684",0,0,0,"243,684"
,,087,,,,,,,厚生労働調査研究等推進費,,"55,501,806",0,0,0,"55,501,806"
,,089,,,,,,,国立研究開発法人医薬基盤・健康・栄養研究所運営費,,"3,674,953",0,0,0,"3,674,953"
,,194,,,,,,,社会保障・税番号活用推進費,,"8,675,966",0,0,0,"8,675,966"
,,091,,,,,,,水道施設整備事業調査諸費,,"3,000",0,0,0,"3,000"
,,191,,,,,,,水道施設災害復旧事業費,,"350,000","8,929,000",0,"8,929,000","9,279,000"
,,,49,088,1,92,5,00,,水道施設災害復旧事業費補助,"350,000","8,929,000",0,"8,929,000","9,279,000"
農林水産省,農林水産本省,,,,,,,,,,"1,536,729,053","48,246,097",0,"48,246,097","1,584,975,150"
,,001,,,,,,,農林水産本省共通費,,"92,761,023",0,0,0,"92,761,023"
,,002,,,,,,,農林水産本省施設費,,"533,944",0,0,0,"533,944"
,,003,,,,,,,食品の安全・消費者の信頼確保対策費,,"1,482,977",0,0,0,"1,482,977"
,,004,,,,,,,独立行政法人農林水産消費安全技術センター運営費,,"6,641,428",0,0,0,"6,641,428"
,,006,,,,,,,国産農産物消費拡大対策費,,"570,335",0,0,0,"570,335"
,,007,,,,,,,農林水産物・食品輸出促進対策費,,"4,720,729",0,0,0,"4,720,729"
,,008,,,,,,,食料安全保障確立対策費,,"20,991,397",0,0,0,"20,991,397"
,,009,,,,,,,食料安全保障確立対策費食料安定供給特別会計へ繰入,,"86,300,000",0,0,0,"86,300,000"
,,010,,,,,,,担い手育成・確保等対策費,,"238,272,963","3,002,089",0,"3,002,089","241,275,052"
,,,65,061,2,81,5,16,,担い手育成・確保等対策地方公共団体事業費補助金,"10,535,093","2,652,089",0,"2,652,089","13,187,182"
,,,65,061,1,95,9,24,,株式会社日本政策金融公庫出資金,"128,000","350,000",0,"350,000","478,000"
,,,65,061,2,12,9,06,,諸謝金外22目,"227,609,870",0,0,0,"227,609,870"
,,011,,,,,,,独立行政法人農業者年金基金運営費,,"3,352,029",0,0,0,"3,352,029"
,,012,,,,,,,農業経営安定事業費等食料安定供給特別会計へ繰入,,"83,003,176",0,0,0,"83,003,176"
,,013,,,,,,,共済掛金国庫負担金等食料安定供給特別会計へ繰入,,"54,535,639",0,0,0,"54,535,639"
,,014,,,,,,,農地集積・集約化等対策費,,"59,889,783",0,0,0,"59,889,783"
,,015,,,,,,,農業生産基盤整備推進費,,"22,337,947",0,0,0,"22,337,947"
,,016,,,,,,,海岸事業費,,"2,883,775",0,0,0,"2,883,775"
,,017,,,,,,,農業生産基盤整備事業費,,"184,902,418",0,0,0,"184,902,418"
,,018,,,,,,,農業生産基盤整備事業費食料安定供給特別会計へ繰入,,"12,631,599",0,0,0,"12,631,599"
,,019,,,,,,,国産農産物生産・供給体制強化対策費,,"396,135,438","1,530,259",0,"1,530,259","397,665,697"
,,,65,061,2,40,5,16,,国産農産物生産・供給体制強化対策事業費補助金,"13,759,594","1,530,259",0,"1,530,259","15,289,853"
,,,65,061,2,12,9,06,,諸謝金外17目,"382,375,844",0,0,0,"382,375,844"
,,020,,,,,,,牛肉等関税財源国産畜産物生産・供給体制強化対策費,,"38,139,619",0,0,0,"38,139,619"
,,021,,,,,,,独立行政法人農畜産業振興機構運営費,,"2,367,133",0,0,0,"2,367,133"
,,022,,,,,,,独立行政法人家畜改良センター運営費,,"7,109,470",0,0,0,"7,109,470"
,,023,,,,,,,独立行政法人家畜改良センター施設整備費,,"148,468",0,0,0,"148,468"
,,024,,,,,,,農林水産政策研究所,,"927,732",0,0,0,"927,732"
,,025,,,,,,,先端技術活用生産・流通体制強化対策費,,"452,091",0,0,0,"452,091"
,,026,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構運営費,,"1,576,675",0,0,0,"1,576,675"
,,027,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,,"92,800",0,0,0,"92,800"
,,028,,,,,,,農業・食品産業強化対策費,,"20,154,124",0,0,0,"20,154,124"
,,029,,,,,,,農林水産業ロボット技術活用推進費,,"99,342",0,0,0,"99,342"
,,030,,,,,,,農林水産業気候変動・生物多様性保全等対策費,,"149,156",0,0,0,"149,156"
,,031,,,,,,,環境保全型農業生産対策費,,"2,606,406",0,0,0,"2,606,406"
,,032,,,,,,,農村地域資源維持・継承等対策費,,"74,866,482",0,0,0,"74,866,482"
,,044,,,,,,,6次産業化市場規模拡大対策費,,"1,678,367",0,0,0,"1,678,367"
,,033,,,,,,,農山漁村6次産業化対策費,,"1,827,399",0,0,0,"1,827,399"
,,035,,,,,,,農山漁村活性化対策費,,"20,478,837",0,0,0,"20,478,837"
,,036,,,,,,,農山漁村地域整備事業費,,"75,039,000",0,0,0,"75,039,000"
,,037,,,,,,,農林水産統計調査費,,"4,626,615",0,0,0,"4,626,615"
,,038,,,,,,,風水害等対策費,,"25,000","315,450",0,"315,450","340,450"
,,,95,061,2,82,5,16,,農林水産業共同利用施設災害復旧事業費補助金,"25,000","315,450",0,"315,450","340,450"
,,039,,,,,,,受託工事等実施費,,"3,113,505",0,0,0,"3,113,505"
,,040,,,,,,,海岸事業調査諸費,,"3,559",0,0,0,"3,559"
,,041,,,,,,,農業生産基盤整備事業調査諸費,,"1,140,795",0,0,0,"1,140,795"
,,042,,,,,,,農業施設災害復旧事業費,,"7,910,294","42,622,299",0,"42,622,299","50,532,593"
,,,49,053,1,20,4,00,,農業用施設等災害復旧費,"155,294","5,321,299",0,"5,321,299","5,476,593"
,,,49,053,1,82,5,00,,農業用施設等災害復旧事業費補助,"7,755,000","37,301,000",0,"37,301,000","45,056,000"
,,043,,,,,,,農業施設災害関連事業費,,"249,584","776,000",0,"776,000","1,025,584"
,,,49,053,1,82,5,00,,農業用施設等災害関連事業費補助,"227,000","776,000",0,"776,000","1,003,000"
,,,49,053,1,20,4,00,,地すべり対策災害関連緊急事業費外1目,"22,584",0,0,0,"22,584"
,農林水産本省検査指導機関,,,,,,,,,,"15,774,924","87,472",0,"87,472","15,862,396"
,,051,,,,,,,農林水産本省検査指導所,,"15,426,744","87,472",0,"87,472","15,514,216"
,,,65,061,2,12,3,09,,庁費,"994,525","31,972",0,"31,972","1,026,497"
,,,65,061,2,12,3,09,,検査検疫庁費,"2,161,728","5,610",0,"5,610","2,167,338"
,,,65,061,2,12,3,09,,各所修繕,"41,540","49,890",0,"49,890","91,430"
,,,65,061,2,12,9,06,,諸謝金外13目,"12,228,951",0,0,0,"12,228,951"
,,052,,,,,,,農林水産本省検査指導所施設費,,"348,180",0,0,0,"348,180"
,農林水産技術会議,,,,,,,,,,"66,166,779","142,063",0,"142,063","66,308,842"
,,061,,,,,,,農林水産技術会議共通費,,"2,272,532",0,0,0,"2,272,532"
,,062,,,,,,,農林水産技術会議施設費,,"201,068",0,0,0,"201,068"
,,063,,,,,,,農林水産業研究開発・技術移転推進費,,"5,738,714",0,0,0,"5,738,714"
,,064,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構運営費,,"53,865,157","57,496",0,"57,496","53,922,653"
,,,13,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構農業技術研究業務勘定運営費交付金,"49,821,861","57,496",0,"57,496","49,879,357"
,,,13,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構基礎的研究業務勘定運営費交付金,"4,043,296",0,0,0,"4,043,296"
,,065,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,,"596,749","84,567",0,"84,567","681,316"
,,,13,061,1,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費補助金,"596,749","84,567",0,"84,567","681,316"
,,066,,,,,,,国立研究開発法人国際農林水産業研究センター運営費,,"3,432,613",0,0,0,"3,432,613"
,,067,,,,,,,国立研究開発法人国際農林水産業研究センター施設整備費,,"59,946",0,0,0,"59,946"
,林野庁,,,,,,,,,,"285,877,988","46,803,905",0,"46,803,905","332,681,893"
,,101,,,,,,,林野庁共通費,,"33,834,034",0,0,0,"33,834,034"
,,102,,,,,,,林野庁施設費,,"1,033,684",0,0,0,"1,033,684"
,,103,,,,,,,国立研究開発法人森林研究・整備機構運営費,,"10,212,227","117,905",0,"117,905","10,330,132"
,,,13,061,2,30,5,16,,国立研究開発法人森林研究・整備機構研究・育種勘定運営費交付金,"10,212,227","117,905",0,"117,905","10,330,132"
,,104,,,,,,,国立研究開発法人森林研究・整備機構施設整備費,,"218,981",0,0,0,"218,981"
,,105,,,,,,,森林整備・保全費,,"6,026,658",0,0,0,"6,026,658"
,,106,,,,,,,国有林野産物等売払及管理処分業務費,,"17,193,681",0,0,0,"17,193,681"
,,107,,,,,,,治山事業費,,"47,018,421","5,071,000",0,"5,071,000","52,089,421"
,,,41,051,1,20,4,00,,治山事業費,"11,086,466","300,000",0,"300,000","11,386,466"
,,,41,051,1,20,4,00,,国有林野内治山事業費,"12,955,095","1,840,000",0,"1,840,000","14,795,095"
,,,41,051,1,82,5,00,,治山事業費補助,"21,319,796","2,931,000",0,"2,931,000","24,250,796"
,,,41,051,1,20,4,00,,営繕宿舎費外2目,"1,657,064",0,0,0,"1,657,064"
,,108,,,,,,,森林整備事業費,,"105,779,491",0,0,0,"105,779,491"
,,109,,,,,,,借入金利子国有林野事業債務管理特別会計へ繰入,,"3,732,399",0,0,0,"3,732,399"
,,110,,,,,,,国有林野事業収入財源借入金債務処理費国有林野事業債務管理特別会計へ繰入,,"16,676,768",0,0,0,"16,676,768"
,,111,,,,,,,林業振興対策費,,"6,057,182",0,0,0,"6,057,182"
,,112,,,,,,,林産物供給等振興対策費,,"2,471,998",0,0,0,"2,471,998"
,,113,,,,,,,森林整備・林業等振興対策費,,"12,077,376",0,0,0,"12,077,376"
,,114,,,,,,,治山事業工事諸費,,"5,660,579",0,0,0,"5,660,579"
,,115,,,,,,,森林整備事業工事諸費,,"7,910,509",0,0,0,"7,910,509"
,,116,,,,,,,山林施設災害復旧事業費,,"5,206,965","21,601,000",0,"21,601,000","26,807,965"
,,,49,053,1,20,4,00,,林業用施設等災害復旧費,"2,063,965","2,178,000",0,"2,178,000","4,241,965"
,,,49,053,1,82,5,00,,林業用施設等災害復旧事業費補助,"3,143,000","19,423,000",0,"19,423,000","22,566,000"
,,117,,,,,,,山林施設災害関連事業費,,"4,708,892","20,014,000",0,"20,014,000","24,722,892"
,,,49,053,1,20,4,00,,林業用施設等災害関連事業費,"2,374,892","4,855,000",0,"4,855,000","7,229,892"
,,,49,053,1,82,5,00,,林業用施設等災害関連事業費補助,"1,819,000","15,159,000",0,"15,159,000","16,978,000"
,,,49,053,1,82,5,00,,後進地域特例法適用団体補助率差額,"515,000",0,0,0,"515,000"
,,118,,,,,,,山林施設災害復旧事業等工事諸費,,"58,143",0,0,0,"58,143"
,水産庁,,,,,,,,,,"138,829,028","1,846,000",0,"1,846,000","140,675,028"
,,131,,,,,,,水産庁共通費,,"7,776,340",0,0,0,"7,776,340"
,,132,,,,,,,水産庁施設費,,"24,884",0,0,0,"24,884"
,,133,,,,,,,食料安全保障確立対策費,,"611,100",0,0,0,"611,100"
,,134,,,,,,,国立研究開発法人水産研究・教育機構運営費,,"16,940,087",0,0,0,"16,940,087"
,,135,,,,,,,国立研究開発法人水産研究・教育機構施設整備費,,"430,824",0,0,0,"430,824"
,,137,,,,,,,水産資源回復対策費,,"26,279,289",0,0,0,"26,279,289"
,,138,,,,,,,船舶建造費,,"1,731,945",0,0,0,"1,731,945"
,,139,,,,,,,漁業経営安定対策費,,"19,692,011",0,0,0,"19,692,011"
,,140,,,,,,,保険料国庫負担金等食料安定供給特別会計へ繰入,,"17,026,797",0,0,0,"17,026,797"
,,141,,,,,,,漁村振興対策費,,"8,118,303",0,0,0,"8,118,303"
,,142,,,,,,,海岸事業費,,"698,982",0,0,0,"698,982"
,,143,,,,,,,水産基盤整備費,,"31,556,762",0,0,0,"31,556,762"
,,144,,,,,,,水産業強化対策費,,"6,770,000",0,0,0,"6,770,000"
,,145,,,,,,,海岸事業調査諸費,,"5,018",0,0,0,"5,018"
,,146,,,,,,,水産基盤整備事業工事諸費,,"55,238",0,0,0,"55,238"
,,147,,,,,,,漁港施設災害復旧事業費,,"1,102,448","1,798,000",0,"1,798,000","2,900,448"
,,,49,053,1,20,4,00,,漁港災害復旧費,"80,448",0,0,0,"80,448"
,,,49,053,1,82,5,00,,漁港施設災害復旧事業費補助,"1,022,000","1,798,000",0,"1,798,000","2,820,000"
,,148,,,,,,,漁港施設災害関連事業費,,"9,000","48,000",0,"48,000","57,000"
,,,49,053,1,82,5,00,,漁港施設災害関連事業費補助,"8,000","48,000",0,"48,000","56,000"
,,,49,053,1,82,5,00,,後進地域特例法適用団体補助率差額,"1,000",0,0,0,"1,000"
経済産業省,経済産業本省,,,,,,,,,,"227,358,100","1,035,000",0,"1,035,000","228,393,100"
,,001,,,,,,,経済産業本省共通費,,"45,868,465",0,0,0,"45,868,465"
,,002,,,,,,,経済産業本省施設費,,"785,288",0,0,0,"785,288"
,,003,,,,,,,産業・事業新陳代謝促進費,,"620,910",0,0,0,"620,910"
,,004,,,,,,,独立行政法人経済産業研究所運営費,,"1,453,875",0,0,0,"1,453,875"
,,005,,,,,,,技術革新促進・環境整備費,,"868,588",0,0,0,"868,588"
,,006,,,,,,,登録免許税納付確認等事務費特許特別会計へ繰入,,"17,446",0,0,0,"17,446"
,,007,,,,,,,国立研究開発法人産業技術総合研究所運営費,,"61,924,777",0,0,0,"61,924,777"
,,008,,,,,,,国立研究開発法人新エネルギー・産業技術総合開発機構運営費,,"13,170,675",0,0,0,"13,170,675"
,,009,,,,,,,基準認証政策推進費,,"2,965,097",0,0,0,"2,965,097"
,,010,,,,,,,独立行政法人製品評価技術基盤機構運営費,,"7,242,946",0,0,0,"7,242,946"
,,011,,,,,,,経済産業統計調査費,,"2,787,193",0,0,0,"2,787,193"
,,012,,,,,,,ものづくり産業振興費,,"22,202,630",0,0,0,"22,202,630"
,,014,,,,,,,情報技術利活用促進費,,"8,759,362",0,0,0,"8,759,362"
,,015,,,,,,,独立行政法人情報処理推進機構運営費,,"6,810,366",0,0,0,"6,810,366"
,,013,,,,,,,サービス産業強化費,,"1,312,179",0,0,0,"1,312,179"
,,032,,,,,,,クールジャパン推進費,,"1,800,055",0,0,0,"1,800,055"
,,033,,,,,,,サイバーセキュリティ対策推進費,,"2,277,344",0,0,0,"2,277,344"
,,025,,,,,,,産業保安・危機管理費,,"4,104,879",0,0,0,"4,104,879"
,,016,,,,,,,国際交渉・連携推進費,,"3,448,434",0,0,0,"3,448,434"
,,017,,,,,,,独立行政法人日本貿易振興機構運営費,,"23,925,655",0,0,0,"23,925,655"
,,018,,,,,,,海外市場開拓支援費,,"7,280,151",0,0,0,"7,280,151"
,,019,,,,,,,対内投資促進費,,"34,232",0,0,0,"34,232"
,,021,,,,,,,貿易管理費,,"886,885",0,0,0,"886,885"
,,022,,,,,,,地域経済活性化対策費,,"3,463,888",0,0,0,"3,463,888"
,,023,,,,,,,工業用水道事業費,,"1,947,000","1,035,000",0,"1,035,000","2,982,000"
,,,45,052,1,92,5,00,,工業用水道事業費補助,"1,947,000","1,035,000",0,"1,035,000","2,982,000"
,,024,,,,,,,環境政策推進費,,"459,172",0,0,0,"459,172"
,,026,,,,,,,消費者行政推進費,,"314,541",0,0,0,"314,541"
,,027,,,,,,,化学物質管理推進費,,"626,067",0,0,0,"626,067"
,中小企業庁,,,,,,,,,,"92,055,915","55,593,000",0,"55,593,000","147,648,915"
,,101,,,,,,,中小企業庁共通費,,"2,374,324",0,0,0,"2,374,324"
,,102,,,,,,,経営革新・創業促進費,,"41,255,216","3,993,000",0,"3,993,000","45,248,216"
,,,60,062,2,40,5,16,,中小企業経営支援等対策費補助金,"20,892,160","3,993,000",0,"3,993,000","24,885,160"
,,,60,062,2,12,9,06,,諸謝金外5目,"20,363,056",0,0,0,"20,363,056"
,,103,,,,,,,独立行政法人中小企業基盤整備機構運営費,,"18,003,589",0,0,0,"18,003,589"
,,104,,,,,,,中小企業事業環境整備費,,"24,168,765","51,600,000",0,"51,600,000","75,768,765"
,,,60,062,2,92,5,16,,経営安定関連保証等基金補助金,"4,600,000","9,900,000",0,"9,900,000","14,500,000"
,,,60,062,1,86,5,16,,中小企業組合等共同施設等災害復旧費補助金,0,"31,400,000",0,"31,400,000","31,400,000"
,,,60,062,1,95,9,24,,株式会社日本政策金融公庫出資金,"200,000","10,300,000",0,"10,300,000","10,500,000"
,,,60,062,2,12,3,09,,情報処理業務庁費外5目,"19,368,765",0,0,0,"19,368,765"
,,105,,,,,,,経営安定・取引適正化費,,"6,254,021",0,0,0,"6,254,021"
国土交通省,国土交通本省,,,,,,,,,,"5,308,209,060","334,877,485",0,"334,877,485","5,643,086,545"
,,001,,,,,,,国土交通本省共通費,,"126,450,184",0,0,0,"126,450,184"
,,002,,,,,,,国土交通本省施設費,,"77,760",0,0,0,"77,760"
,,003,,,,,,,住宅対策事業費,,"1,600,000","1,587,000",0,"1,587,000","3,187,000"
,,,44,084,1,86,5,00,,公営住宅整備費等補助,"1,600,000","1,587,000",0,"1,587,000","3,187,000"
,,004,,,,,,,住宅対策諸費,,"36,653,762",0,0,0,"36,653,762"
,,005,,,,,,,住宅市場整備推進費,,"5,592,578",0,0,0,"5,592,578"
,,006,,,,,,,総合的バリアフリー推進費,,"44,198",0,0,0,"44,198"
,,008,,,,,,,海洋環境対策費,,"148,271",0,0,0,"148,271"
,,351,,,,,,,港湾環境整備事業費,,"815,820","269,082",0,"269,082","1,084,902"
,,,43,052,1,82,5,00,,港湾廃棄物処理施設整備事業費補助,"261,420","269,082",0,"269,082","530,502"
,,,43,052,1,82,5,00,,港湾環境整備事業費補助外1目,"554,400",0,0,0,"554,400"
,,010,,,,,,,道路環境等対策費,,"605,939",0,0,0,"605,939"
,,352,,,,,,,道路環境改善事業費,,"116,473,000",0,0,0,"116,473,000"
,,011,,,,,,,水資源対策費,,"155,370",0,0,0,"155,370"
,,012,,,,,,,水資源開発事業費,,"11,624,017",0,0,0,"11,624,017"
,,013,,,,,,,緑地環境対策費,,"150,000",0,0,0,"150,000"
,,014,,,,,,,国営公園等事業費,,"18,397,536",0,0,0,"18,397,536"
,,015,,,,,,,水環境対策費,,"179,010",0,0,0,"179,010"
,,016,,,,,,,都市水環境整備事業費,,"21,163,829",0,0,0,"21,163,829"
,,017,,,,,,,下水道事業費,,"5,045,196",0,0,0,"5,045,196"
,,018,,,,,,,地球温暖化防止等対策費,,"10,489,424",0,0,0,"10,489,424"
,,019,,,,,,,災害情報整備推進費,,"6,830",0,0,0,"6,830"
,,020,,,,,,,住宅・市街地防災対策費,,"316,048",0,0,0,"316,048"
,,021,,,,,,,市街地防災事業費,,"400,000",0,0,0,"400,000"
,,022,,,,,,,住宅防災事業費,,"111,646,000",0,0,0,"111,646,000"
,,023,,,,,,,都市公園防災事業費,,"2,737,000",0,0,0,"2,737,000"
,,024,,,,,,,下水道防災事業費,,"242,000",0,0,0,"242,000"
,,025,,,,,,,水害・土砂災害対策費,,"286,733",0,0,0,"286,733"
,,026,,,,,,,河川管理施設整備費,,"102,615",0,0,0,"102,615"
,,353,,,,,,,河川整備事業費,,"399,493,166",0,0,0,"399,493,166"
,,354,,,,,,,多目的ダム建設事業費,,"84,173,633",0,0,0,"84,173,633"
,,355,,,,,,,総合流域防災事業費,,"6,724,000",0,0,0,"6,724,000"
,,356,,,,,,,砂防事業費,,"83,867,889",0,0,0,"83,867,889"
,,027,,,,,,,急傾斜地崩壊対策等事業費,,"16,000",0,0,0,"16,000"
,,028,,,,,,,災害対策等緊急事業推進費,,"13,438,000",0,0,0,"13,438,000"
,,032,,,,,,,海岸事業費,,"21,241,274",0,0,0,"21,241,274"
,,033,,,,,,,公共交通等安全対策費,,"1,949,043",0,0,0,"1,949,043"
,,034,,,,,,,独立行政法人航空大学校運営費,,"2,380,718",0,0,0,"2,380,718"
,,035,,,,,,,独立行政法人航空大学校施設整備費,,"85,368",0,0,0,"85,368"
,,036,,,,,,,鉄道安全対策事業費,,"5,012,000",0,0,0,"5,012,000"
,,037,,,,,,,道路交通安全対策費,,"356,577",0,0,0,"356,577"
,,357,,,,,,,道路交通安全対策事業費,,"479,873,750",0,0,0,"479,873,750"
,,038,,,,,,,総合的物流体系整備推進費,,"2,891,188",0,0,0,"2,891,188"
,,040,,,,,,,港湾事業費,,"179,881,119","3,144,899",0,"3,144,899","183,026,018"
