所管,組織,,,,,,,,                             項目,,"平成30年度
成立予算額(千円)",補正要求,,,"改平成30年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,138,,,,,,,皇宮警察本部,,"8,366,539",0,0,0,"8,366,539"
,,140,,,,,,,犯罪被害給付費,,"1,291,320",0,0,0,"1,291,320"
,,141,,,,,,,情報技術犯罪対策費,,"933,492",0,0,0,"933,492"
,,142,,,,,,,科学警察研究所,,"2,090,219",0,0,0,"2,090,219"
,,143,,,,,,,警察活動基盤整備費,,"110,979,992","444,503",0,"444,503","111,424,495"
,,,95,014,2,20,3,09,,車両購入費,"2,044,142","64,932",0,"64,932","2,109,074"
,,,95,014,1,82,5,16,,都道府県警察施設災害復旧費補助金,0,"379,571",0,"379,571","379,571"
,,,95,014,2,12,9,06,,諸謝金外18目,"108,935,850",0,0,0,"108,935,850"
,金融庁,,,,,,,,,,"24,686,308","1,659",0,"1,659","24,687,967"
,,151,,,,,,,金融庁共通費,,"22,580,491",0,0,0,"22,580,491"
,,152,,,,,,,金融政策費,,"2,105,817","1,659",0,"1,659","2,107,476"
,,,95,062,2,40,5,16,,自然災害被災者債務整理支援事業費補助金,"30,559","1,659",0,"1,659","32,218"
,,,95,016,2,12,9,06,,諸謝金外13目,"2,075,258",0,0,0,"2,075,258"
総務省,総務本省,,,,,,,,,,"16,064,228,313","87,048",0,"87,048","16,064,315,361"
,,001,,,,,,,総務本省共通費,,"41,177,282",0,0,0,"41,177,282"
,,002,,,,,,,総務本省施設費,,"423,258",0,0,0,"423,258"
,,004,,,,,,,行政管理実施費,,"126,848",0,0,0,"126,848"
,,005,,,,,,,行政評価等実施費,,"215,506",0,0,0,"215,506"
,,006,,,,,,,地方行政制度整備費,,"443,510",0,0,0,"443,510"
,,007,,,,,,,地域振興費,,"3,300,417",0,0,0,"3,300,417"
,,008,,,,,,,地方財政制度整備費,,"49,260",0,0,0,"49,260"
,,009,,,,,,,地方交付税交付金,,"15,360,581,100",0,0,0,"15,360,581,100"
,,010,,,,,,,地方特例交付金,,"154,400,000",0,0,0,"154,400,000"
,,011,,,,,,,地方税制度整備費,,"34,014",0,0,0,"34,014"
,,012,,,,,,,選挙制度等整備費,,"185,121",0,0,0,"185,121"
,,013,,,,,,,電子政府・電子自治体推進費,,"55,661,659",0,0,0,"55,661,659"
,,014,,,,,,,情報通信技術研究開発推進費,,"7,990,188",0,0,0,"7,990,188"
,,015,,,,,,,国立研究開発法人情報通信研究機構運営費,,"28,027,197",0,0,0,"28,027,197"
,,016,,,,,,,国立研究開発法人情報通信研究機構施設整備費,,"108,000",0,0,0,"108,000"
,,017,,,,,,,情報通信技術高度利活用推進費,,"6,109,013",0,0,0,"6,109,013"
,,020,,,,,,,情報通信技術利用環境整備費,,"5,262,979","87,048",0,"87,048","5,350,027"
,,,95,063,2,82,5,16,,情報通信基盤災害復旧事業費補助金,0,"87,048",0,"87,048","87,048"
,,,95,063,2,12,9,06,,諸謝金外9目,"5,262,979",0,0,0,"5,262,979"
,,021,,,,,,,電波利用料財源電波監視等実施費,,"56,116,355",0,0,0,"56,116,355"
