所管,組織,,,,,,,,                             項目,,"令和2年度
成立予算額(千円)",補正要求,,,"改令和2年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,,95,016,2,12,3,09,,情報処理業務庁費,"18,167","4,470",0,"4,470","22,637"
,,,95,016,2,12,2,08,,職員旅費外5目,"678,510",0,0,0,"678,510"
,,038,,,,,,,食品安全政策費,,"327,925",0,0,0,"327,925"
,,040,,,,,,,公益法人制度適正運営推進費,,"155,661",0,0,0,"155,661"
,,041,,,,,,,経済社会総合研究所,,"2,123,814",0,0,0,"2,123,814"
,,042,,,,,,,迎賓施設運営費,,"2,190,321",0,0,0,"2,190,321"
,,200,,,,,,,プレミアム付商品券事業助成費,,"53,439",0,0,0,"53,439"
,,049,,,,,,,航空機燃料税財源沖縄空港整備事業費自動車安全特別会計へ繰入,,"15,648,000",0,0,0,"15,648,000"
,子ども・子育て本部,,,,,,,,,,"2,999,154,379","183,065,034",0,"183,065,034","3,182,219,413"
,,211,,,,,,,子ども・子育て本部,,"1,467,313",0,0,0,"1,467,313"
,,212,,,,,,,大学等修学支援費,,"488,175,811",0,0,0,"488,175,811"
,,214,,,,,,,仕事・子育て両立支援事業費,,0,"320,490",0,"320,490","320,490"
,,,06,089,2,40,5,16,,仕事・子育て両立支援事業費補助金,0,"320,490",0,"320,490","320,490"
,,213,,,,,,,子ども・子育て支援年金特別会計へ繰入,,"2,509,511,255","17,370,635",0,"17,370,635","2,526,881,890"
,,,05,089,2,71,6,22,,子どものための教育・保育給付等年金特別会計へ繰入,"1,274,356,495","831,291",0,"831,291","1,275,187,786"
,,,05,089,2,71,6,22,,地域子ども・子育て支援事業年金特別会計へ繰入,"46,901,792","16,539,344",0,"16,539,344","63,441,136"
,,,06,089,2,71,6,22,,年金特別会計へ繰入外1目,"1,188,252,968",0,0,0,"1,188,252,968"
,,215,,,,,,,子育て世帯臨時特別給付金給付事業助成費,,0,"165,373,909",0,"165,373,909","165,373,909"
,,,06,083,2,12,2,08,,職員旅費,0,"4,776",0,"4,776","4,776"
,,,06,083,2,12,3,09,,庁費,0,"183,336",0,"183,336","183,336"
,,,06,083,2,86,5,16,,子育て世帯臨時特別給付金給付事業費補助金,0,"147,924,890",0,"147,924,890","147,924,890"
,,,06,083,2,86,5,16,,子育て世帯臨時特別給付金給付事務費補助金,0,"17,260,907",0,"17,260,907","17,260,907"
,総合海洋政策推進事務局,,,,,,,,,,"5,175,421","560,652",0,"560,652","5,736,073"
,,261,,,,,,,総合海洋政策推進事務局,,"140,084",0,0,0,"140,084"
,,262,,,,,,,有人国境離島政策推進費,,"5,035,337","560,652",0,"560,652","5,595,989"
,,,95,016,2,12,9,06,,諸謝金,"14,831","41,534",0,"41,534","56,365"
,,,95,199,2,81,5,16,,特定有人国境離島地域社会維持推進交付金,"5,000,000","518,248",0,"518,248","5,518,248"
,,,95,199,2,40,5,16,,特定有人国境離島地域事業活動支援利子補給金,"12,741",870,0,870,"13,611"
,,,95,016,2,12,2,08,,職員旅費外2目,"7,765",0,0,0,"7,765"
,警察庁,,,,,,,,,,"360,304,799","9,170,537",0,"9,170,537","369,475,336"
,,131,,,,,,,警察庁共通費,,"94,258,622",0,0,0,"94,258,622"
,,132,,,,,,,警察庁施設費,,"9,498,276",0,0,0,"9,498,276"
,,133,,,,,,,生活安全警察費,,"235,570",0,0,0,"235,570"
,,134,,,,,,,刑事警察費,,"407,345",0,0,0,"407,345"
,,135,,,,,,,組織犯罪対策費,,"50,867",0,0,0,"50,867"
,,136,,,,,,,交通警察費,,"21,018,505",0,0,0,"21,018,505"
,,145,,,,,,,交通反則者納金財源交通安全対策特別交付金等交付税及び譲与税配付金特別会計へ繰入,,"54,361,639",0,0,0,"54,361,639"
,,137,,,,,,,警備警察費,,"10,991,553",0,0,0,"10,991,553"
,,138,,,,,,,皇宮警察本部,,"8,962,186",0,0,0,"8,962,186"
,,140,,,,,,,犯罪被害給付費,,"1,182,037",0,0,0,"1,182,037"
,,141,,,,,,,情報技術犯罪対策費,,"1,131,813",0,0,0,"1,131,813"
,,142,,,,,,,科学警察研究所,,"2,167,118",0,0,0,"2,167,118"
,,143,,,,,,,警察活動基盤整備費,,"156,039,268","9,170,537",0,"9,170,537","165,209,805"
,,,95,014,2,12,3,09,,情報処理業務庁費,"4,502,436","1,039,702",0,"1,039,702","5,542,138"
,,,95,014,2,12,3,09,,警察装備費,"27,222,238","7,836,152",0,"7,836,152","35,058,390"
,,,95,014,2,20,3,09,,警察通信機器整備費,"21,894,896","294,683",0,"294,683","22,189,579"
,,,95,014,2,12,9,06,,諸謝金外16目,"102,419,698",0,0,0,"102,419,698"
,金融庁,,,,,,,,,,"25,676,008","396,127",0,"396,127","26,072,135"
,,151,,,,,,,金融庁共通費,,"23,092,824","391,601",0,"391,601","23,484,425"
,,,95,016,2,12,3,09,,庁費,"804,565","67,960",0,"67,960","872,525"
,,,95,016,2,12,3,09,,情報処理業務庁費,"2,178,970","323,641",0,"323,641","2,502,611"
