所管,組織,,,,,,,,                             項目,,"令和2年度
成立予算額(千円)",補正要求,,,"改令和2年度
予算額(千円)"
,,,,,,,,,,,,追加額(千円),修正減少額(千円),差引額(千円),
,,,95,015,1,20,2,08,,施設施工旅費外3目,"252,972",0,0,0,"252,972"
,,023,,,,,,,地域別外交費,,"1,005,094",0,0,0,"1,005,094"
,,024,,,,,,,分野別外交費,,"417,106",0,0,0,"417,106"
,,025,,,,,,,広報文化交流及報道対策費,,"2,198,348","1,001,700",0,"1,001,700","3,200,048"
,,,95,015,2,12,9,06,,戦略的対外発信謝金,"502,564","1,001,700",0,"1,001,700","1,504,264"
,,,95,015,2,12,9,06,,諸謝金外12目,"1,695,784",0,0,0,"1,695,784"
,,026,,,,,,,領事政策費,,"4,136,638","130,355",0,"130,355","4,266,993"
,,,95,015,2,12,2,08,,在外職員等旅費,"29,874","11,498",0,"11,498","41,372"
,,,95,015,2,12,3,09,,領事事務庁費,"151,424","118,857",0,"118,857","270,281"
,,,95,015,2,12,9,06,,在外選挙事務謝金外6目,"3,955,340",0,0,0,"3,955,340"
,,027,,,,,,,経済協力費,,"1,046,242",0,0,0,"1,046,242"
財務省,財務本省,,,,,,,,,,"24,268,783,052","3,519,282,233",0,"3,519,282,233","27,788,065,285"
,,001,,,,,,,財務本省共通費,,"160,982,939",0,0,0,"160,982,939"
,,002,,,,,,,財務本省施設費,,"227,940",0,0,0,"227,940"
,,003,,,,,,,財政健全化推進費,,"811,082",0,0,0,"811,082"
,,004,,,,,,,税制企画立案費,,"160,632",0,0,0,"160,632"
,,005,,,,,,,資産債務管理費,,"415,629",0,0,0,"415,629"
,,008,,,,,,,国債費,,"23,351,520,636","125,854,033",0,"125,854,033","23,477,374,669"
,,,20,100,2,30,6,22,,普通国債等償還財源等国債整理基金特別会計へ繰入,"22,839,167,766","125,854,033",0,"125,854,033","22,965,021,799"
,,,20,100,2,12,9,06,,諸謝金外6目,"512,352,870",0,0,0,"512,352,870"
,,015,,,,,,,産業投資支出財政投融資特別会計へ繰入,,0,"100,000,000",0,"100,000,000","100,000,000"
,,,95,062,1,95,6,22,,産業投資支出財源財政投融資特別会計投資勘定へ繰入,0,"100,000,000",0,"100,000,000","100,000,000"
,,007,,,,,,,公務員宿舎施設費,,"7,666,572",0,0,0,"7,666,572"
,,014,,,,,,,特定国有財産整備費,,"1,556,576",0,0,0,"1,556,576"
,,016,,,,,,,特定国有財産整備諸費,,"121,132",0,0,0,"121,132"
,,009,,,,,,,貨幣製造及信用秩序制度等企画立案費,,"16,826,761",0,0,0,"16,826,761"
,,010,,,,,,,関税制度等企画立案費,,"1,655,473",0,0,0,"1,655,473"
,,011,,,,,,,経済協力費,,"77,505,931","42,228,200",0,"42,228,200","119,734,131"
,,,50,015,2,72,5,16,,政府開発援助アジア開発銀行等拠出金,"29,984,102","41,318,200",0,"41,318,200","71,302,302"
,,,50,062,1,95,9,24,,政府開発援助独立行政法人国際協力機構有償資金協力部門出資金,"46,610,000","910,000",0,"910,000","47,520,000"
,,,50,015,2,12,9,06,,政府開発援助諸謝金外7目,"911,829",0,0,0,"911,829"
,,012,,,,,,,政策金融費,,"60,163,430","1,751,200,000",0,"1,751,200,000","1,811,363,430"
,,,60,062,1,95,9,24,,株式会社日本政策金融公庫出資金,"43,300,000","1,751,000,000",0,"1,751,000,000","1,794,300,000"
,,,95,062,1,95,9,24,,危機対応円滑化業務出資金,0,"200,000",0,"200,000","200,000"
,,,95,062,2,40,5,16,,危機対応円滑化業務補助金外2目,"16,863,430",0,0,0,"16,863,430"
,,013,,,,,,,国家公務員共済組合連合会等助成費,,"68,292,433",0,0,0,"68,292,433"
,,064,,,,,,,復興事業費等東日本大震災復興特別会計へ繰入,,"20,875,886",0,0,0,"20,875,886"
,,018,,,,,,,新型コロナウイルス感染症対策予備費,,0,"1,500,000,000",0,"1,500,000,000","1,500,000,000"
,,,94,107,2,95,9,99,,(新型コロナウイルス感染症対策予備費),0,"1,500,000,000",0,"1,500,000,000","1,500,000,000"
,,019,,,,,,,予備費,,"500,000,000",0,0,0,"500,000,000"
,国税庁,,,,,,,,,,"719,379,092","4,855,664",0,"4,855,664","724,234,756"
,,041,,,,,,,国税庁共通費,,"571,609,925",0,0,0,"571,609,925"
,,042,,,,,,,国税庁施設費,,"2,574,406",0,0,0,"2,574,406"
,,043,,,,,,,税務業務費,,"139,401,696","4,855,664",0,"4,855,664","144,257,360"
,,,95,017,2,12,3,09,,税務特別庁費,"93,797,788","4,767,769",0,"4,767,769","98,565,557"
,,,95,017,2,12,3,09,,成果重視事業国税電子申告・納税システム開発運用費,"8,411,111","87,895",0,"87,895","8,499,006"
,,,95,017,2,12,9,06,,諸謝金外17目,"37,192,797",0,0,0,"37,192,797"
,,044,,,,,,,国税不服審判所,,"4,828,069",0,0,0,"4,828,069"
,,045,,,,,,,独立行政法人酒類総合研究所運営費,,"964,996",0,0,0,"964,996"
文部科学省,文部科学本省,,,,,,,,,,"5,273,178,922","268,777,294",0,"268,777,294","5,541,956,216"
,,001,,,,,,,文部科学本省共通費,,"102,134,354",0,0,0,"102,134,354"
,,003,,,,,,,教育政策推進費,,"43,498,205","453,840",0,"453,840","43,952,045"
,,,15,072,2,12,5,14,,教育政策推進事業委託費,"6,679,050","453,840",0,"453,840","7,132,890"
,,,15,072,2,12,9,06,,諸謝金外16目,"36,819,155",0,0,0,"36,819,155"
,,009,,,,,,,独立行政法人教職員支援機構運営費,,"1,214,954",0,0,0,"1,214,954"
,,007,,,,,,,独立行政法人国立青少年教育振興機構運営費,,"8,571,079","1,171,100",0,"1,171,100","9,742,179"
,,,95,072,2,30,5,16,,独立行政法人国立青少年教育振興機構運営費交付金,"8,571,079","1,171,100",0,"1,171,100","9,742,179"
,,005,,,,,,,独立行政法人国立女性教育会館運営費,,"525,340",0,0,0,"525,340"
,,006,,,,,,,初等中等教育振興費,,"529,100,571","226,499,855",0,"226,499,855","755,600,426"
,,,15,071,2,12,3,09,,庁費,"114,147","7,507,590",0,"7,507,590","7,621,737"
,,,13,073,2,12,5,14,,先端技術活用教育推進事業委託費,"426,888","129,596",0,"129,596","556,484"
,,,15,071,2,81,5,16,,教育支援体制整備事業費補助金,"15,236,841","796,168",0,"796,168","16,033,009"
,,,13,073,2,82,5,16,,公立学校情報機器整備費補助金,0,"211,286,083",0,"211,286,083","211,286,083"
,,,15,071,2,81,5,16,,学校保健特別対策事業費補助金,0,"3,209,477",0,"3,209,477","3,209,477"
,,,15,071,2,81,5,16,,教育支援体制整備事業費交付金,"1,151,965","3,570,941",0,"3,570,941","4,722,906"
,,,15,071,2,12,9,06,,諸謝金外27目,"512,170,730",0,0,0,"512,170,730"
,,011,,,,,,,独立行政法人国立特別支援教育総合研究所運営費,,"1,102,796",0,0,0,"1,102,796"
,,013,,,,,,,義務教育費国庫負担金,,"1,522,141,000",0,0,0,"1,522,141,000"
,,014,,,,,,,高等教育振興費,,"35,528,398","8,581,262",0,"8,581,262","44,109,660"
,,,15,071,2,71,5,16,,大学改革推進等補助金,"2,581,029","1,080,000",0,"1,080,000","3,661,029"
,,,13,073,2,30,5,16,,独立行政法人国立高等専門学校機構情報機器整備費補助金,0,"375,000",0,"375,000","375,000"
,,,15,071,2,30,5,16,,国立大学法人設備整備費補助金,"2,798,731","4,700,000",0,"4,700,000","7,498,731"
,,,13,073,2,30,5,16,,国立大学法人情報機器整備費補助金,0,"2,426,262",0,"2,426,262","2,426,262"
,,,15,071,2,12,9,06,,諸謝金外17目,"30,148,638",0,0,0,"30,148,638"
,,015,,,,,,,独立行政法人大学改革支援・学位授与機構運営費,,"2,275,822",0,0,0,"2,275,822"
,,017,,,,,,,独立行政法人国立高等専門学校機構運営費,,"62,330,381","1,702",0,"1,702","62,332,083"
,,,15,071,2,30,5,16,,独立行政法人国立高等専門学校機構運営費交付金,"62,330,381","1,702",0,"1,702","62,332,083"
,,020,,,,,,,独立行政法人国立高等専門学校機構施設整備費,,"6,962,710","597,828",0,"597,828","7,560,538"
,,,15,071,1,30,5,16,,独立行政法人国立高等専門学校機構施設整備費補助金,"6,962,710","597,828",0,"597,828","7,560,538"
,,021,,,,,,,育英事業費,,"101,957,274",0,0,0,"101,957,274"
,,022,,,,,,,私立学校振興費,,"548,160,786","11,166,493",0,"11,166,493","559,327,279"
,,,15,071,2,71,5,16,,私立大学等経常費補助金,"290,695,000","295,467",0,"295,467","290,990,467"
,,,15,071,1,92,5,16,,私立学校施設整備費補助金,"10,872,934","274,501",0,"274,501","11,147,435"
,,,13,073,2,92,5,16,,私立学校情報機器整備費補助金,0,"10,596,525",0,"10,596,525","10,596,525"
,,,15,071,2,12,9,06,,諸謝金外11目,"246,592,852",0,0,0,"246,592,852"
,,023,,,,,,,科学技術・学術政策推進費,,"6,686,256","46,000",0,"46,000","6,732,256"
,,,13,073,2,71,5,16,,地域産学官連携科学技術振興事業費補助金,"5,418,399","46,000",0,"46,000","5,464,399"
,,,13,073,2,12,9,06,,諸謝金外18目,"1,267,857",0,0,0,"1,267,857"
,,027,,,,,,,研究振興費,,"303,626,338",0,0,0,"303,626,338"
,,028,,,,,,,国立大学法人施設整備費,,"74,953,913","3,952,172",0,"3,952,172","78,906,085"
,,,15,071,1,30,5,16,,国立大学法人施設整備費補助金,"66,869,437","3,952,172",0,"3,952,172","70,821,609"
,,,13,073,1,30,5,16,,国立大学法人先端研究等施設整備費補助金,"8,084,476",0,0,0,"8,084,476"
,,029,,,,,,,国立大学法人船舶建造費,,"5,671,490",0,0,0,"5,671,490"
,,030,,,,,,,国立大学法人運営費,,"1,080,672,069","393,835",0,"393,835","1,081,065,904"
,,,15,071,2,30,5,16,,国立大学法人運営費交付金,"1,080,672,069","393,835",0,"393,835","1,081,065,904"
,,031,,,,,,,独立行政法人日本学術振興会運営費,,"26,567,080",0,0,0,"26,567,080"
,,032,,,,,,,研究開発推進費,,"140,847,273","2,855,570",0,"2,855,570","143,702,843"
,,,13,073,2,30,5,16,,医療研究開発推進事業費補助金,"53,230,785","2,855,570",0,"2,855,570","56,086,355"
,,,13,073,2,12,9,06,,諸謝金外35目,"87,616,488",0,0,0,"87,616,488"
,,039,,,,,,,国立研究開発法人物質・材料研究機構運営費,,"13,787,272",0,0,0,"13,787,272"
,,041,,,,,,,国立研究開発法人日本医療研究開発機構運営費,,"5,924,931",0,0,0,"5,924,931"
,,033,,,,,,,国立研究開発法人科学技術振興機構運営費,,"100,271,984",0,0,0,"100,271,984"
,,064,,,,,,,国立研究開発法人科学技術振興機構施設整備費,,"189,181",0,0,0,"189,181"
,,049,,,,,,,国立研究開発法人理化学研究所運営費,,"53,549,284",0,0,0,"53,549,284"
,,042,,,,,,,国立研究開発法人量子科学技術研究開発機構運営費,,"21,535,063",0,0,0,"21,535,063"
,,043,,,,,,,国立研究開発法人量子科学技術研究開発機構施設整備費,,"631,487","195,341",0,"195,341","826,828"
,,,13,073,1,30,5,16,,国立研究開発法人量子科学技術研究開発機構施設整備費補助金,"631,487","195,341",0,"195,341","826,828"
,,051,,,,,,,国立研究開発法人防災科学技術研究所運営費,,"7,608,976",0,0,0,"7,608,976"
,,034,,,,,,,南極地域観測事業費,,"4,094,428",0,0,0,"4,094,428"
,,044,,,,,,,電源開発促進税財源電源立地対策及電源利用対策費エネルギー対策特別会計へ繰入,,"107,715,472",0,0,0,"107,715,472"
,,066,,,,,,,電源立地対策費エネルギー対策特別会計へ繰入,,"868,330",0,0,0,"868,330"
,,036,,,,,,,国立研究開発法人海洋研究開発機構運営費,,"31,843,418",0,0,0,"31,843,418"
,,038,,,,,,,国立研究開発法人海洋研究開発機構船舶建造費,,"616,611",0,0,0,"616,611"
,,047,,,,,,,国立研究開発法人宇宙航空研究開発機構運営費,,"118,447,193",0,0,0,"118,447,193"
,,048,,,,,,,国立研究開発法人宇宙航空研究開発機構施設整備費,,"1,120,832",0,0,0,"1,120,832"
,,045,,,,,,,国立研究開発法人日本原子力研究開発機構運営費,,"36,463,213",0,0,0,"36,463,213"
,,054,,,,,,,公立文教施設整備費,,"117,002,306","12,809,933",0,"12,809,933","129,812,239"
,,,13,073,1,82,5,16,,公立学校情報通信ネットワーク環境施設整備費補助金,0,"7,077,000",0,"7,077,000","7,077,000"
,,,14,071,1,82,5,16,,公立学校施設整備費負担金,"41,864,970","700,000",0,"700,000","42,564,970"
,,,14,071,1,82,5,16,,学校施設環境改善交付金,"74,587,693","5,032,933",0,"5,032,933","79,620,626"
,,,14,074,1,82,5,16,,公立諸学校建物其他災害復旧費補助金外2目,"549,643",0,0,0,"549,643"
,,057,,,,,,,文化振興費,,"924,000",0,0,0,"924,000"
,,058,,,,,,,国際交流・協力推進費,,"30,405,375",0,0,0,"30,405,375"
,,059,,,,,,,独立行政法人日本学生支援機構運営費,,"15,651,477","52,363",0,"52,363","15,703,840"
,,,16,071,2,40,5,16,,政府開発援助独立行政法人日本学生支援機構一般勘定運営費交付金,"2,491,006","14,138",0,"14,138","2,505,144"
,,,16,071,2,40,5,16,,独立行政法人日本学生支援機構一般勘定運営費交付金,"13,160,471","38,225",0,"38,225","13,198,696"
,スポーツ庁,,,,,,,,,,"30,632,126","1,370,206",0,"1,370,206","32,002,332"
,,101,,,,,,,スポーツ庁共通費,,"1,272,848",0,0,0,"1,272,848"
,,102,,,,,,,初等中等教育振興費,,"25,110",0,0,0,"25,110"
,,103,,,,,,,私立学校振興費,,"80,000",0,0,0,"80,000"
,,104,,,,,,,スポーツ振興費,,"9,684,087","1,190,206",0,"1,190,206","10,874,293"
,,,15,072,2,71,5,16,,民間スポーツ振興費等補助金,"1,277,484","1,063,738",0,"1,063,738","2,341,222"
,,,15,072,2,81,5,16,,地方スポーツ振興費補助金,"840,011","126,468",0,"126,468","966,479"
,,,15,072,2,12,9,06,,諸謝金外9目,"7,566,592",0,0,0,"7,566,592"
,,107,,,,,,,独立行政法人日本スポーツ振興センター運営費,,"19,570,081",0,0,0,"19,570,081"
,,108,,,,,,,独立行政法人日本スポーツ振興センター施設整備費,,0,"180,000",0,"180,000","180,000"
,,,13,073,1,92,5,16,,独立行政法人日本スポーツ振興センター研究施設整備費補助金,0,"180,000",0,"180,000","180,000"
,文化庁,,,,,,,,,,"106,714,859","6,122,322",0,"6,122,322","112,837,181"
,,081,,,,,,,文化庁共通費,,"3,360,137",0,0,0,"3,360,137"
,,082,,,,,,,文化振興費,,"22,390,704","6,122,322",0,"6,122,322","28,513,026"
,,,95,072,2,12,5,14,,文化芸術振興委託費,"11,434,852","4,087,322",0,"4,087,322","15,522,174"
,,,95,072,2,30,5,16,,文化芸術振興費補助金,"10,116,839","2,035,000",0,"2,035,000","12,151,839"
,,,95,072,2,12,9,06,,諸謝金外8目,"839,013",0,0,0,"839,013"
,,088,,,,,,,文化財保存事業費,,"45,629,717",0,0,0,"45,629,717"
,,089,,,,,,,文化財保存施設整備費,,"609,214",0,0,0,"609,214"
,,093,,,,,,,文化振興基盤整備費,,"2,970,359",0,0,0,"2,970,359"
,,083,,,,,,,日本芸術院,,"525,818",0,0,0,"525,818"
,,097,,,,,,,独立行政法人国立科学博物館運営費,,"2,731,759",0,0,0,"2,731,759"
,,098,,,,,,,独立行政法人国立科学博物館施設整備費,,"133,102",0,0,0,"133,102"
,,084,,,,,,,独立行政法人国立美術館運営費,,"7,552,265",0,0,0,"7,552,265"
,,085,,,,,,,独立行政法人国立美術館施設整備費,,"1,381,000",0,0,0,"1,381,000"
,,090,,,,,,,独立行政法人国立文化財機構運営費,,"8,633,262",0,0,0,"8,633,262"
,,091,,,,,,,独立行政法人国立文化財機構施設整備費,,"197,737",0,0,0,"197,737"
,,086,,,,,,,独立行政法人日本芸術文化振興会運営費,,"10,599,785",0,0,0,"10,599,785"
厚生労働省,厚生労働本省,,,,,,,,,,"32,853,623,048","719,034,634",0,"719,034,634","33,572,657,682"
,,001,,,,,,,厚生労働本省共通費,,"107,759,647","2,919,146",0,"2,919,146","110,678,793"
,,,95,016,2,12,3,09,,庁費,"3,153,125","2,919,146",0,"2,919,146","6,072,271"
,,,95,016,2,12,9,06,,諸謝金外44目,"104,606,522",0,0,0,"104,606,522"
,,002,,,,,,,厚生労働本省施設費,,"260,099",0,0,0,"260,099"
,,003,,,,,,,医療提供体制確保対策費,,"26,413,146","1,097,727",0,"1,097,727","27,510,873"
,,,07,086,2,12,5,14,,医療提供体制確保対策等委託費,"2,759,948","824,026",0,"824,026","3,583,974"
,,,07,086,2,81,5,16,,医療施設運営費等補助金,"10,975,387","273,701",0,"273,701","11,249,088"
,,,95,016,2,12,9,06,,諸謝金外8目,"12,677,811",0,0,0,"12,677,811"
,,004,,,,,,,医療従事者等確保対策費,,"590,248",0,0,0,"590,248"
,,005,,,,,,,医療従事者資質向上対策費,,"232,152",0,0,0,"232,152"
,,006,,,,,,,医療情報化等推進費,,"2,634,259",0,0,0,"2,634,259"
,,007,,,,,,,医療安全確保推進費,,"1,348,493",0,0,0,"1,348,493"
,,010,,,,,,,独立行政法人国立病院機構運営費,,"15,041,542",0,0,0,"15,041,542"
,,171,,,,,,,国立研究開発法人国立がん研究センター運営費,,"6,459,097",0,0,0,"6,459,097"
,,172,,,,,,,国立研究開発法人国立がん研究センター施設整備費,,"173,590",0,0,0,"173,590"
,,173,,,,,,,国立研究開発法人国立循環器病研究センター運営費,,"3,984,461",0,0,0,"3,984,461"
,,174,,,,,,,国立研究開発法人国立精神・神経医療研究センター運営費,,"4,020,349",0,0,0,"4,020,349"
,,175,,,,,,,国立研究開発法人国立精神・神経医療研究センター施設整備費,,"1,049,476",0,0,0,"1,049,476"
,,176,,,,,,,国立研究開発法人国立国際医療研究センター運営費,,"5,870,005",0,0,0,"5,870,005"
,,177,,,,,,,国立研究開発法人国立国際医療研究センター施設整備費,,"79,151",0,0,0,"79,151"
,,178,,,,,,,国立研究開発法人国立成育医療研究センター運営費,,"3,191,121",0,0,0,"3,191,121"
,,184,,,,,,,国立研究開発法人国立成育医療研究センター施設整備費,,"500,500",0,0,0,"500,500"
,,179,,,,,,,国立研究開発法人国立長寿医療研究センター運営費,,"2,972,260",0,0,0,"2,972,260"
,,183,,,,,,,国立研究開発法人国立長寿医療研究センター施設整備費,,"697,073",0,0,0,"697,073"
,,012,,,,,,,感染症対策費,,"154,158,684","398,876,222",0,"398,876,222","553,034,906"
,,,95,016,2,12,9,06,,諸謝金,"6,961","193,200",0,"193,200","200,161"
,,,95,016,2,12,2,08,,職員旅費,"19,607","55,248",0,"55,248","74,855"
,,,95,016,2,12,2,08,,委員等旅費,"20,605","149,136",0,"149,136","169,741"
,,,95,016,2,12,3,09,,庁費,"58,353","28,740",0,"28,740","87,093"
,,,07,086,2,12,3,09,,健康対策関係業務庁費,"673,484","212,028,701",0,"212,028,701","212,702,185"
,,,95,016,2,12,3,09,,感染症流行予測調査費,"89,372","198,476",0,"198,476","287,848"
,,,07,086,2,12,3,09,,医薬品等保管料,"111,689","7,238",0,"7,238","118,927"
,,,07,086,2,12,3,09,,医薬品買上費,"5,394,472","13,940,000",0,"13,940,000","19,334,472"
,,,07,086,2,84,5,16,,感染症予防事業費等負担金,"2,264,791","4,914,439",0,"4,914,439","7,179,230"
,,,03,086,2,84,5,16,,感染症医療費負担金,"22,412","18,330,667",0,"18,330,667","18,353,079"
,,,07,086,2,81,5,16,,新型コロナウイルス感染症緊急包括支援交付金,0,"149,030,377",0,"149,030,377","149,030,377"
,,,07,086,2,60,9,06,,新型インフルエンザ予防接種健康被害給付金外16目,"145,496,938",0,0,0,"145,496,938"
,,013,,,,,,,特定疾患等対策費,,"139,036,630",0,0,0,"139,036,630"
,,014,,,,,,,移植医療推進費,,"3,202,704",0,0,0,"3,202,704"
,,015,,,,,,,原爆被爆者等援護対策費,,"121,848,494",0,0,0,"121,848,494"
,,016,,,,,,,医薬品承認審査等推進費,,"1,175,483",0,0,0,"1,175,483"
,,017,,,,,,,医薬品安全対策等推進費,,"2,311,081",0,0,0,"2,311,081"
,,018,,,,,,,医薬品適正使用推進費,,"210,336","457,545",0,"457,545","667,881"
,,,95,016,2,12,5,14,,衛生関係指導者養成等委託費,"45,827","457,545",0,"457,545","503,372"
,,,95,016,2,12,9,06,,諸謝金外7目,"164,509",0,0,0,"164,509"
,,019,,,,,,,血液製剤対策費,,"629,252",0,0,0,"629,252"
,,021,,,,,,,医療技術実用化等推進費,,"2,147,735","3,000,000",0,"3,000,000","5,147,735"
,,,07,086,2,40,5,16,,医薬品安定供給支援補助金,0,"3,000,000",0,"3,000,000","3,000,000"
,,,95,016,2,12,9,06,,諸謝金外9目,"2,147,735",0,0,0,"2,147,735"
,,022,,,,,,,医療提供体制基盤整備費,,"204,848,596","6,567,682",0,"6,567,682","211,416,278"
,,,07,086,2,82,5,16,,医療施設等設備整備費補助金,"2,469,161","6,567,682",0,"6,567,682","9,036,843"
,,,07,086,2,81,5,16,,医療提供体制推進事業費補助金外5目,"202,379,435",0,0,0,"202,379,435"
,,023,,,,,,,独立行政法人医薬品医療機器総合機構運営費,,"2,265,089",0,0,0,"2,265,089"
,,024,,,,,,,医療保険給付諸費,,"10,222,054,185","24,874,676",0,"24,874,676","10,246,928,861"
,,,06,081,2,71,5,16,,後期高齢者医療災害等臨時特例補助金,0,"849,372",0,"849,372","849,372"
,,,06,081,2,71,5,16,,国民健康保険災害等臨時特例補助金,0,"20,352,762",0,"20,352,762","20,352,762"
,,,06,081,2,71,5,16,,国民健康保険組合災害等臨時特例補助金,0,"3,672,542",0,"3,672,542","3,672,542"
,,,95,016,2,12,9,06,,諸謝金外32目,"10,222,054,185",0,0,0,"10,222,054,185"
,,025,,,,,,,健康保険事業借入金諸費年金特別会計へ繰入,,"5,833,163",0,0,0,"5,833,163"
,,026,,,,,,,医療費適正化推進費,,"26,114,154",0,0,0,"26,114,154"
,,029,,,,,,,地域保健対策費,,"3,815,667",0,0,0,"3,815,667"
,,030,,,,,,,保健衛生施設整備費,,"5,146,940",0,0,0,"5,146,940"
,,031,,,,,,,健康増進対策費,,"17,488,102",0,0,0,"17,488,102"
,,032,,,,,,,健康危機管理推進費,,"277,364","98,529",0,"98,529","375,893"
,,,95,016,2,12,3,09,,社会保障関係情報化業務庁費,"44,666","98,529",0,"98,529","143,195"
,,,95,016,2,12,9,06,,諸謝金外5目,"232,698",0,0,0,"232,698"
,,033,,,,,,,食品等安全確保対策費,,"2,288,094",0,0,0,"2,288,094"
,,034,,,,,,,水道安全対策費,,"89,953",0,0,0,"89,953"
,,035,,,,,,,水道施設整備費,,"8,097,000",0,0,0,"8,097,000"
,,195,,,,,,,生活基盤施設耐震化等対策費,,"41,766,000",0,0,0,"41,766,000"
,,036,,,,,,,麻薬・覚醒剤等対策費,,"556,664",0,0,0,"556,664"
,,037,,,,,,,化学物質安全対策費,,"310,915",0,0,0,"310,915"
,,038,,,,,,,生活衛生対策費,,"5,325,905","29,401,582",0,"29,401,582","34,727,487"
,,,95,016,2,81,5,16,,生活衛生関係営業対策事業費補助金,"1,312,943","688,582",0,"688,582","2,001,525"
,,,07,086,1,95,9,24,,株式会社日本政策金融公庫出資金,0,"28,713,000",0,"28,713,000","28,713,000"
,,,95,016,2,12,9,06,,諸謝金外7目,"4,012,962",0,0,0,"4,012,962"
,,039,,,,,,,労働条件確保・改善対策費,,"217,113",0,0,0,"217,113"
,,096,,,,,,,中小企業最低賃金引上げ支援対策費,,"1,086,613",0,0,0,"1,086,613"
,,041,,,,,,,労働者災害補償保険保険給付費労働保険特別会計へ繰入,,"8,683",0,0,0,"8,683"
,,092,,,,,,,職務上年金給付費年金特別会計へ繰入,,"1,112",0,0,0,"1,112"
,,045,,,,,,,独立行政法人労働政策研究・研修機構運営費,,"406,787",0,0,0,"406,787"
,,046,,,,,,,独立行政法人労働政策研究・研修機構施設整備費,,"23,353",0,0,0,"23,353"
,,056,,,,,,,男女均等雇用対策費,,"137,253",0,0,0,"137,253"
,,048,,,,,,,高齢者等雇用安定・促進費,,"9,276,790","108,407,344",0,"108,407,344","117,684,134"
,,,08,085,2,60,9,06,,職業転換等特別給付金,"61,790","107,493,782",0,"107,493,782","107,555,572"
,,,08,085,2,12,3,09,,障害者等雇用安定促進業務庁費,"69,013","91,310",0,"91,310","160,323"
,,,08,085,2,12,5,14,,高齢者等雇用安定促進事業委託費,"350,464","822,252",0,"822,252","1,172,716"
,,,95,016,2,12,9,06,,諸謝金外14目,"8,795,523",0,0,0,"8,795,523"
,,049,,,,,,,失業等給付費等労働保険特別会計へ繰入,,"27,459,500",0,0,0,"27,459,500"
,,097,,,,,,,就職支援法事業費労働保険特別会計へ繰入,,"620,165","465,841",0,"465,841","1,086,006"
,,,08,085,2,71,6,22,,労働保険特別会計へ繰入,"620,165","465,841",0,"465,841","1,086,006"
,,052,,,,,,,職業能力開発強化費,,"5,121,433",0,0,0,"5,121,433"
,,053,,,,,,,若年者等職業能力開発支援費,,"73,343",0,0,0,"73,343"
,,054,,,,,,,障害者等職業能力開発支援費,,"4,105,482",0,0,0,"4,105,482"
,,055,,,,,,,独立行政法人高齢・障害・求職者雇用支援機構運営費,,"867,964",0,0,0,"867,964"
,,058,,,,,,,保育対策費,,"109,109,354","10,762,529",0,"10,762,529","119,871,883"
,,,06,083,2,81,5,16,,保育対策事業費補助金,"39,382,343","10,762,529",0,"10,762,529","50,144,872"
,,,95,016,2,12,9,06,,諸謝金外5目,"69,727,011",0,0,0,"69,727,011"
,,060,,,,,,,児童虐待等防止対策費,,"156,680,565","1,621,457",0,"1,621,457","158,302,022"
,,,06,083,2,81,5,16,,児童福祉事業対策費等補助金,"18,412,063","1,621,457",0,"1,621,457","20,033,520"
,,,95,016,2,12,9,06,,諸謝金外13目,"138,268,502",0,0,0,"138,268,502"
,,061,,,,,,,母子保健衛生対策費,,"28,198,330","1,190,500",0,"1,190,500","29,388,830"
,,,06,083,2,81,5,16,,母子保健衛生費補助金,"23,954,804","1,190,500",0,"1,190,500","25,145,304"
,,,95,016,2,12,9,06,,諸謝金外13目,"4,243,526",0,0,0,"4,243,526"
,,062,,,,,,,母子家庭等対策費,,"175,573,803","130,361",0,"130,361","175,704,164"
,,,06,083,2,81,5,16,,母子家庭等対策費補助金,"13,221,036","130,361",0,"130,361","13,351,397"
,,,95,016,2,12,9,06,,諸謝金外8目,"162,352,767",0,0,0,"162,352,767"
,,094,,,,,,,子ども・子育て支援対策費,,"4,367,051",0,0,0,"4,367,051"
,,063,,,,,,,児童福祉施設整備費,,"15,286,899","375,100",0,"375,100","15,661,999"
,,,06,083,1,92,5,16,,児童育成事業費補助金,"900,000",0,0,0,"900,000"
,,,06,083,1,82,5,16,,次世代育成支援対策施設整備交付金,"14,386,899","375,100",0,"375,100","14,761,999"
,,064,,,,,,,生活保護等対策費,,"2,934,065,093","40,249,349",0,"40,249,349","2,974,314,442"
,,,06,083,2,12,5,14,,自立相談支援事業従事者養成研修等委託費,"225,775","594,065",0,"594,065","819,840"
,,,06,083,2,81,5,16,,生活困窮者就労準備支援事業費等補助金,"46,212,619","36,948,534",0,"36,948,534","83,161,153"
,,,06,083,2,81,5,16,,生活困窮者自立相談支援事業費等負担金,"22,746,750","2,706,750",0,"2,706,750","25,453,500"
,,,95,016,2,12,9,06,,諸謝金外15目,"2,864,879,949",0,0,0,"2,864,879,949"
,,196,,,,,,,自殺対策費,,"3,293,124","273,062",0,"273,062","3,566,186"
,,,07,086,2,81,5,16,,地域自殺対策強化交付金,"2,628,968","273,062",0,"273,062","2,902,030"
,,,95,016,2,12,9,06,,諸謝金外5目,"664,156",0,0,0,"664,156"
,,067,,,,,,,社会福祉諸費,,"36,060,913","68,899",0,"68,899","36,129,812"
,,,95,016,1,20,2,08,,施設施工旅費,0,444,0,444,444
