year,code,amount,name,topname,depname,depcat,cat,ref
2017,7cc.e26.16c0e7.95,15083782000,独立行政法人国際交流基金運営費,外務省,外務本省,その他の事項経費,その他の事項経費,独立行政法人国際交流基金運営費交付金50.8% 政府開発援助独立行政法人国際交流基金運営費交付金49.2%
2017,7cc.e26.a35997.95,13098525000,領事政策費,外務省,外務本省,その他の事項経費,その他の事項経費,渡航事務庁費72.2% 情報処理業務庁費25.4% 諸謝金1.2% 領事事務庁費0.5% 啓発宣伝費0.4% 職員旅費0.1% 文化人等派遣旅費0.0% 庁費0.0% 文化人等招へい費0.0% 海外邦人帰国費等貸出金0.0% 在外選挙事務庁費0.0% 委員等旅費0.0% 在外選挙事務謝金0.0%
2017,7cc.e26.c86269.50,177898387000,経済協力費,外務省,外務本省,経済協力費,経済協力費,政府開発援助経済開発等援助費99.2% 政府開発援助海外経済協力事業委託費0.3% 政府開発援助諸謝金0.2% 政府開発援助経済協力評価等調査謝金0.1% 政府開発援助啓発宣伝費0.1% 政府開発援助職員旅費0.1% 政府開発援助庁費0.0% 政府開発援助文化人等派遣旅費0.0% 政府開発援助文化人等招へい費0.0% 政府開発援助海外技術協力推進民間団体補助金0.0% 政府開発援助経済開発計画実施設計等委託費0.0% 政府開発援助経済協力評価等調査費0.0% 政府開発援助委員等旅費0.0% 政府開発援助電子計算機等借料0.0% 政府開発援助情報処理業務庁費0.0%
2017,7cc.e26.202353.50,154315760000,独立行政法人国際協力機構運営費,外務省,外務本省,経済協力費,経済協力費,政府開発援助独立行政法人国際協力機構運営費交付金100.0%
2017,7cc.e26.1ea035.50,166873000,独立行政法人国際協力機構施設整備費,外務省,外務本省,経済協力費,経済協力費,政府開発援助独立行政法人国際協力機構施設整備費補助金100.0%
2017,7cc.e26.b43eb7.50,181162735000,国際分担金其他諸費(経済協力費),外務省,外務本省,経済協力費,経済協力費,政府開発援助経済協力国際機関等拠出金76.2% 経済協力国際機関分担金16.0% 政府開発援助経済協力国際機関分担金6.9% 経済協力国際機関等拠出金0.8%
2017,7cc.e26.b43eb7.63,5132110000,国際分担金其他諸費(エネルギー対策費),外務省,外務本省,エネルギー対策費,エネルギー対策費,国際原子力機関分担金81.2% 政府開発援助国際原子力機関拠出金18.8%
2017,7cc.e26.b43eb7.95,87183441000,国際分担金其他諸費(その他の事項経費),外務省,外務本省,その他の事項経費,その他の事項経費,国際機関分担金84.0% 国際機関等拠出金8.2% 政府開発援助国際機関分担金6.5% 政府開発援助国際機関等拠出金1.3%
2017,7cc.54b.e0ac2d.95,125080399000,在外公館共通費,外務省,在外公館,その他の事項経費,その他の事項経費,職員諸手当16.3% 政府開発援助職員諸手当13.0% 現地補助員給与10.9% 政府開発援助現地補助員給与8.7% 職員基本給6.9% 在外公館等借料6.1% 政府開発援助職員基本給5.5% 諸謝金5.3% 政府開発援助在外公館等借料4.8% 政府開発援助諸謝金4.2% 庁費3.2% 政府開発援助庁費2.5% 赴任帰朝旅費1.3% 報償費1.3% 在外職員等旅費1.1% 政府開発援助赴任帰朝旅費1.1% 在外公館設備整備費1.0% 在外公館連絡庁費1.0% 在外公館交流諸費0.9% 政府開発援助在外職員等旅費0.9% 政府開発援助在外公館設備整備費0.8% 政府開発援助在外公館連絡庁費0.8% 政府開発援助在外公館交流諸費0.7% 各所修繕0.3% 車両購入費0.3% 政府開発援助各所修繕0.3% 政府開発援助車両購入費0.3% 情報処理業務庁費0.1% 交際費0.1% 公共施設等維持管理運営費0.1% 政府開発援助情報処理業務庁費0.1% 政府開発援助交際費0.1% 政府開発援助公共施設等維持管理運営費0.1% 褒賞品費0.0% 政府開発援助褒賞品費0.0%
2017,7cc.54b.6ac278.95,6791107000,在外公館施設費,外務省,在外公館,その他の事項経費,その他の事項経費,施設整備費50.6% 政府開発援助施設整備費40.3% 施設施工庁費4.2% 政府開発援助施設施工庁費3.3% 不動産購入費0.9% 政府開発援助不動産購入費0.7%
