year,code,amount,name,topname,depname,depcat,cat,ref
2015,110.110.3858c5.95,324000000,内廷費,皇室費,皇室費,その他の事項経費,その他の事項経費,(内廷費)100.0%
2015,110.110.5cfbc0.95,5562939000,宮廷費,皇室費,皇室費,その他の事項経費,その他の事項経費,施設整備費37.6% 庁費32.2% 各所修繕23.3% 報償費4.1% 招宴費1.3% 交際費1.1% 諸謝金0.5% 自動車重量税0.0%
2015,110.110.978e72.95,229970000,皇族費,皇室費,皇室費,その他の事項経費,その他の事項経費,(皇族費)100.0%
2015,862.99f.99f9b5.95,63984010000,衆議院,国会,衆議院,その他の事項経費,その他の事項経費,議員秘書手当18.2% 議員歳費15.9% 職員基本給13.2% 議員文書通信交通滞在費8.9% 公共施設等維持管理運営費6.8% 職員諸手当6.3% 立法事務費5.8% 議員会館管理等運営庁費5.1% 国家公務員共済組合負担金3.4% 情報処理業務庁費2.5% 退職手当2.5% 超過勤務手当2.2% 庁費1.6% 議員特殊乗車券等購入費1.4% 議案類印刷費1.1% 基礎年金等国家公務員共済組合負担金0.9% 国有資産所在市町村交付金0.8% 国政調査活動費0.7% 議員秘書退職手当0.6% 議員旅費0.5% 非常勤職員手当0.3% 職員旅費0.2% 列国議会同盟分担金0.2% 招へい外国人滞在費0.1% 短時間勤務職員給与0.1% 児童手当0.1% 各所修繕0.1% 交際費0.1% 弔慰金0.1% 議会雑費0.0% 休職者給与0.0% 国会活動啓発費0.0% 公務災害補償費0.0% 証人等旅費0.0% 諸謝金0.0% 赴任旅費0.0% 賠償償還及払戻金0.0% 育児休業手当金国家公務員共済組合負担金0.0% 自動車重量税0.0%
2015,862.99f.8562ed.95,9120277000,衆議院施設費,国会,衆議院,その他の事項経費,その他の事項経費,不動産購入費87.6% 施設整備費12.1% 施設施工庁費0.4% 施設施工旅費0.0%
2015,862.99f.9f3708.95,7000000,衆議院予備経費,国会,衆議院,その他の事項経費,その他の事項経費,(国会予備経費)100.0%
2015,862.b99.b99a7e.95,38136545000,参議院,国会,参議院,その他の事項経費,その他の事項経費,職員基本給16.8% 議員秘書手当15.9% 議員歳費13.6% 職員諸手当8.2% 議員文書通信交通滞在費7.6% 議員会館管理等運営庁費6.7% 立法事務費4.9% 国家公務員共済組合負担金4.4% 公共施設等維持管理運営費4.0% 退職手当3.0% 超過勤務手当2.9% 情報処理業務庁費2.6% 庁費1.6% 議案類印刷費1.3% 議員特殊乗車券等購入費1.2% 基礎年金等国家公務員共済組合負担金1.1% 国有資産所在市町村交付金0.8% 国政調査活動費0.6% 議員秘書退職手当0.5% 議員旅費0.4% 非常勤職員手当0.4% 職員旅費0.2% 短時間勤務職員給与0.2% 各所修繕0.2% 児童手当0.2% 招へい外国人滞在費0.1% 弔慰金0.1% 休職者給与0.1% 交際費0.1% 議会雑費0.1% 国会活動啓発費0.1% 証人等旅費0.0% 諸謝金0.0% 赴任旅費0.0% 公務災害補償費0.0% 賠償償還及払戻金0.0% 育児休業手当金国家公務員共済組合負担金0.0% 自動車重量税0.0%
2015,862.b99.04a7cf.95,5436197000,参議院施設費,国会,参議院,その他の事項経費,その他の事項経費,不動産購入費78.5% 施設整備費20.6% 施設施工庁費0.8% 施設施工旅費0.0%
2015,862.b99.fc0911.95,5000000,参議院予備経費,国会,参議院,その他の事項経費,その他の事項経費,(国会予備経費)100.0%
2015,862.66c.66cf32.95,17274444000,国立国会図書館(その他の事項経費),国会,国立国会図書館,その他の事項経費,その他の事項経費,職員基本給26.0% 国立国会図書館業務庁費25.3% 職員諸手当13.1% 電子計算機等借料8.3% 国家公務員共済組合負担金6.5% 退職手当5.8% 図書館資料購入費4.6% 超過勤務手当2.6% 納入出版物代償金2.3% 基礎年金等国家公務員共済組合負担金1.6% 非常勤職員手当1.1% 各所修繕0.4% 短時間勤務職員給与0.4% 特殊文書関係資料整備費0.4% 立法資料購入費0.4% 職員旅費0.3% 庁費0.3% 休職者給与0.2% 児童手当0.2% 諸謝金0.1% 国際図書館連盟等拠出金0.1% 赴任旅費0.0% 外国人招へい旅費0.0% 招へい外国人滞在費0.0% 委員等旅費0.0% 国有資産所在市町村交付金0.0% 育児休業手当金国家公務員共済組合負担金0.0% 交際費0.0% 公務災害補償費0.0% 賠償償還及払戻金0.0% 自動車重量税0.0%
